# Race: Tarawera Ultramarathon By UTMB 2023 - TUM 50
# Distance: 51.4 km
# D+: 1572 m
# D-: 1572 m
# Date: 2023-02-10
# URL: https://live.utmb.world/tarawera/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6134,Ben GATTING,NZ,29,H,20-34M,,https://utmb.world/runner/4816440.ben.gatting,681.0,5.0,5.0,5.0,03:41:57,13317.412,True,f,
5172,Eric CONCÉ,New Caledonia,48,H,45-49M,,https://utmb.world/runner/440389.eric.conce,692.0,6.0,6.0,1.0,03:42:22,13341.721,True,f,
5458,Gerald MACPHERSON,AU,33,H,20-34M,,https://utmb.world/runner/2076737.gerald.macpherson,759.0,7.0,7.0,6.0,03:42:42,13362.573,True,f,
6113,David KILGORE,US,34,H,20-34M,,https://utmb.world/runner/580679.david.kilgore,757.0,9.0,8.0,7.0,03:44:03,13443.368,True,f,
5548,Jack OATES,GB,29,H,20-34M,,https://utmb.world/runner/1454389.jack.oates,727.0,13.0,10.0,8.0,03:55:00,14100.632,True,f,
5902,Nick MUXLOW,AU,40,H,35-39M,,https://utmb.world/runner/351503.nick.muxlow,655.0,14.0,11.0,2.0,03:58:57,14336.904,True,f,
5809,Anton WEATHERHEAD,GB,29,H,20-34M,,,,16.0,12.0,9.0,03:59:33,14373.415,True,f,
4380,Troy HAROLD,NZ,55,H,50-54M,,https://utmb.world/runner/376690.troy.harold,664.0,17.0,13.0,1.0,04:00:03,14403.0,True,f,
4732,Morgan PAYNE,AU,36,H,20-34M,,https://utmb.world/runner/3104845.morgan.payne,769.0,19.0,15.0,11.0,04:02:36,14556.885,True,f,
5341,James HEGGIE,AU,41,H,35-39M,,https://utmb.world/runner/2562801.james.heggie,660.0,20.0,16.0,3.0,04:02:49,14569.344,True,f,
5975,Iain MACDONALD,NZ,42,H,40-44M,,,,21.0,17.0,1.0,04:06:21,14781.739,True,f,
5549,Andrew O'BRIEN,AU,53,H,50-54M,,,,22.0,18.0,2.0,04:07:36,14856.792,True,f,
5391,Bert KEMPENAERS,BE,42,H,40-44M,,https://utmb.world/runner/828966.bert.kempenaers,656.0,23.0,19.0,2.0,04:10:52,15052.253,True,f,
5390,Seamus KELLY,NZ,24,H,20-34M,,,,24.0,20.0,12.0,04:11:28,15087.76,True,f,
5241,Gauthier DURET,FR,32,H,20-34M,,https://utmb.world/runner/1609219.gauthier.duret,721.0,25.0,21.0,13.0,04:12:16,15136.604,True,f,
5233,Jaco DU PLESSIS,NZ,45,H,40-44M,,https://utmb.world/runner/3539355.jaco.duplessis,718.0,26.0,22.0,3.0,04:15:26,15326.877,True,f,
5451,Amelia LYTHE,NZ,23,F,20-34F,,,,27.0,5.0,5.0,04:15:33,15332.936,True,f,
4674,Duncan MORRISON,NZ,33,H,20-34M,,,,29.0,23.0,14.0,04:17:34,15454.627,True,f,
5620,Robbie RAWLES,NZ,40,H,35-39M,,https://utmb.world/runner/1774503.robert.rawles,659.0,30.0,24.0,4.0,04:17:40,15460.522,True,f,
4310,Cameron GAVIN,NZ,40,H,35-39M,,https://utmb.world/runner/4816154.cameron.gavin,656.0,31.0,25.0,5.0,04:19:22,15561.169,True,f,
5984,Joe MURPHY,NZ,48,H,45-49M,,https://utmb.world/runner/2075599.joe.murphy,650.0,32.0,26.0,2.0,04:20:53,15652.842,True,f,
5529,Ricky MULLINS,AU,32,H,20-34M,,,,33.0,27.0,15.0,04:22:01,15720.877,True,f,
5492,Connor MCKAY,AU,28,H,20-34M,,,,34.0,28.0,16.0,04:22:45,15765.14,True,f,
