# Race: Tarawera Ultra-Trail by UTMB 2025 - T50
# Distance: 52 km
# D+: 1150 m
# D-: 1150 m
# Date: 2025-02-14
# URL: https://live.utmb.world/tarawera/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
51,Hayden HAWKS,US,34,H,20-34M,,https://utmb.world/runner/1140055.hayden.hawks,917.0,1.0,1.0,1.0,03:18:46,11925.644,True,f,
52,Robbie SIMPSON,GB,34,H,20-34M,,https://utmb.world/runner/301409.robbie.simpson,898.0,2.0,2.0,2.0,03:20:01,12001.292,True,f,
60,Michael VOSS,NZ,28,H,20-34M,,https://utmb.world/runner/3823473.michael.voss,778.0,3.0,3.0,3.0,03:23:13,12192.723,True,f,
5303,Max YANZICK,NZ,23,H,20-34M,,https://utmb.world/runner/6907169.max.yanzick,,4.0,4.0,4.0,03:30:56,12656.055,True,f,
53,Daniel OSANZ,ES,27,H,20-34M,,https://utmb.world/runner/1015313.daniel.osanz,895.0,5.0,5.0,5.0,03:35:17,12916.221,True,f,
4060,Jack HARRIS,NZ,32,H,20-34M,,https://utmb.world/runner/3840793.jack.harris,746.0,6.0,6.0,6.0,03:35:57,12957.041,True,f,
64,Cullern THORBY,NZ,23,H,20-34M,,https://utmb.world/runner/6948927.cullern.thorby,,7.0,7.0,7.0,03:37:29,13048.84,True,f,
5270,Sam ROUT,NZ,34,H,20-34M,,https://utmb.world/runner/4816152.sam.rout,778.0,8.0,8.0,8.0,03:42:03,13322.66,True,f,
59,Ryan WOOLLEY,NZ,36,H,35-39M,,https://utmb.world/runner/3279693.ryan.woolley,791.0,9.0,9.0,1.0,03:43:59,13439.085,True,f,
62,Joshua LYNOTT,AU,29,H,20-34M,,https://utmb.world/runner/4766456.joshua.lynott,720.0,10.0,10.0,9.0,03:44:58,13497.887,True,f,
5273,Doug GOLDING,ZA,35,H,35-39M,,https://utmb.world/runner/4130111.doug.golding,742.0,11.0,11.0,2.0,03:45:31,13530.717,True,f,
55,Bianca TARBOTON,ZA,28,F,20-34W,,https://utmb.world/runner/2501069.bianca.tarboton,748.0,12.0,1.0,1.0,03:45:55,13555.291,True,f,
4521,Harry WAGER,NZ,29,H,20-34M,,https://utmb.world/runner/4414796.harry.wager,784.0,13.0,12.0,10.0,03:46:16,13575.737,True,f,
5386,Benje PATTERSON,NZ,39,H,35-39M,,https://utmb.world/runner/3897173.benje.patterson,765.0,14.0,13.0,3.0,03:48:09,13689.399,True,f,
5387,Duncan MORRISON,NZ,33,H,20-34M,,https://utmb.world/runner/4970032.duncan.morrison,652.0,15.0,14.0,11.0,03:50:45,13845.592,True,f,
5637,Samuel CLARK,NZ,35,H,35-39M,,https://utmb.world/runner/6984071.samuel.clark,,16.0,15.0,4.0,03:55:52,14151.506,True,f,
5004,Nick TIPLING,NZ,37,H,35-39M,,https://utmb.world/runner/6734153.nick.tipling,,17.0,16.0,5.0,03:56:18,14177.76,True,f,
5463,Jack GILL,GB,35,H,35-39M,,https://utmb.world/runner/4058291.jack.gill,766.0,18.0,17.0,6.0,03:59:42,14382.552,True,f,
4556,Jared SCHNELL,NZ,28,H,20-34M,,https://utmb.world/runner/4106206.jared.schnell,679.0,19.0,18.0,12.0,04:03:03,14583.461,True,f,
4346,Sean STEVENS,AU,44,H,40-44M,,https://utmb.world/runner/5532320.sean.stevens,679.0,20.0,19.0,1.0,04:03:36,14616.188,True,f,
4302,Daniel EVANS,AU,26,H,20-34M,,https://utmb.world/runner/6227767.daniel.evans,,21.0,20.0,13.0,04:08:00,14880.031,True,f,
4004,Matt BARTON,NZ,31,H,20-34M,,https://utmb.world/runner/4938618.matt.barton,634.0,22.0,21.0,14.0,04:08:32,14911.729,True,f,
5383,Antoine TROUCHE,FR,25,H,20-34M,,https://utmb.world/runner/5367016.antoine.trouche,673.0,23.0,22.0,15.0,04:09:00,14939.352,True,f,
5603,Wyatt MILLION,US,30,H,20-34M,,https://utmb.world/runner/2594991.wyatt.million,741.0,24.0,23.0,16.0,04:11:16,15075.086,True,f,
57,Madison REYNOLDS,AU,27,F,20-34W,,https://utmb.world/runner/4805036.madison.reynolds,690.0,25.0,2.0,2.0,04:11:38,15098.703,True,f,
5620,Dylan BOWMAN,US,39,H,35-39M,,https://utmb.world/runner/14392.dylan.bowman,812.0,26.0,24.0,7.0,04:11:48,15107.637,True,f,
5396,Julia GRANT,NZ,40,F,40-44W,,https://utmb.world/runner/6556147.julia.grant,614.0,27.0,3.0,1.0,04:13:24,15203.699,True,f,
