# Race: Tarawera Ultra-Trail by UTMB 2025 - TMiler
# Distance: 163 km
# D+: 3700 m
# D-: 3700 m
# Date: 2025-02-14
# URL: https://live.utmb.world/tarawera/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2,Sam HARVEY,NZ,32,H,20-34M,,https://utmb.world/runner/3790189.sam.harvey,853.0,1.0,1.0,1.0,15:16:54,55014.661,True,f,
11,Simon COCHRANE,NZ,41,H,40-44M,,https://utmb.world/runner/3271103.simon.cochrane,755.0,2.0,2.0,1.0,15:33:45,56025.372,True,f,
8,Ryan WHELAN,GB,39,H,35-39M,,https://utmb.world/runner/599327.ryan.whelan,796.0,3.0,3.0,1.0,15:56:11,57371.732,True,f,
1418,Luca AHUMADA-PERCOCO,AR,32,H,20-34M,,https://utmb.world/runner/4969526.luca.ahumadapercoco,643.0,4.0,4.0,2.0,16:42:27,60147.966,True,f,
1405,Cullen RHIND,NZ,29,H,20-34M,,https://utmb.world/runner/4816438.cullen.rhind,751.0,5.0,5.0,3.0,16:44:22,60262.728,True,f,
5,Hajime MAMBA,JP,33,H,20-34M,,https://utmb.world/runner/699956.hajime.mamba,817.0,6.0,6.0,4.0,16:46:22,60382.156,True,f,
9,Takumi SAWAYANAGI,JP,38,H,35-39M,,https://utmb.world/runner/2978157.takumi.sawayanagi,787.0,7.0,7.0,2.0,17:01:05,61265.475,True,f,
17,Yutaro YOKOUCHI,JP,32,H,20-34M,,https://utmb.world/runner/2623185.yutaro.yokouchi,819.0,8.0,8.0,5.0,17:09:20,61760.307,True,f,
15,Kimino MIYAZAKI,JP,37,F,35-39W,,https://utmb.world/runner/664800.kimino.miyazaki,681.0,9.0,1.0,1.0,17:40:37,63637.107,True,f,
13,Vajin ARMSTRONG,NZ,45,H,45-49M,,https://utmb.world/runner/5516.vajin.armstrong,738.0,10.0,9.0,1.0,17:43:36,63816.508,True,f,
1212,Blake SCHIMANSKI,PL,25,H,20-34M,,https://utmb.world/runner/5631532.blake.schimanski,680.0,11.0,10.0,6.0,17:47:00,64020.496,True,f,
1394,Stanislav SABOKAR,AN,44,H,40-44M,,https://utmb.world/runner/560442.stanislav.sabokar,733.0,12.0,11.0,2.0,17:59:01,64741.143,True,f,
1062,Paul LENIHAN,IE,37,H,35-39M,,https://utmb.world/runner/4969620.paul.lenihan,669.0,13.0,12.0,3.0,18:02:58,64978.971,True,f,
1296,Jordan NUKUNUKU,NZ,31,H,20-34M,,https://utmb.world/runner/4217121.jordan.nukunuku,620.0,14.0,13.0,7.0,18:31:49,66709.469,True,f,
12,Emma TIMMIS,NZ,41,F,40-44W,,https://utmb.world/runner/1343975.emma.timmis,647.0,15.0,2.0,1.0,18:50:48,67848.511,True,f,
1379,Matthew GUMMER,NZ,39,H,35-39M,,https://utmb.world/runner/4081195.matthew.gummer,713.0,16.0,14.0,4.0,18:56:52,68212.702,True,f,
1407,Stuart HEIGHWAY,NZ,41,H,40-44M,,https://utmb.world/runner/425347.stuart.heighway,616.0,17.0,15.0,3.0,19:08:38,68918.0,True,f,
