# Race: TENERIFE BLUETRAIL BY UTMB 2025 - 73K
# Distance: 73 km
# D+: 3024 m
# D-: 3024 m
# Date: 2025-03-29
# URL: https://live.utmb.world/tenerifebyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1004,Andrzej WITEK,PL,33,H,20-34M,Asics Fuji trail,https://utmb.world/runner/2109803.andrzej.witek,896.0,1.0,1.0,1.0,05:55:36,21336.21,True,f,
1002,Miguel HERAS,ES,50,H,50-54M,Joma,https://utmb.world/runner/12281.miguel.heras,901.0,2.0,2.0,1.0,06:14:12,22452.64,True,f,
1017,Baptiste PETITJEAN,FR,30,H,20-34M,,https://utmb.world/runner/4653028.baptiste.petitjean,851.0,3.0,3.0,2.0,06:16:17,22577.78,True,f,
1005,Joaquin LOPEZ,EC,33,H,20-34M,Kailas FUGA,https://utmb.world/runner/243895.joaquin.lopez,879.0,4.0,4.0,3.0,06:23:10,22990.76,True,f,
1018,Tobias GEISER,IT,35,H,35-39M,Dynafit Squad,https://utmb.world/runner/885081.tobias.geiser,850.0,5.0,5.0,1.0,06:24:11,23051.47,True,f,
1014,Philipp AUSSERHOFER,IT,33,H,20-34M,Scarpa - Karpos,https://utmb.world/runner/1996295.philipp.ausserhofer,866.0,6.0,6.0,4.0,06:24:43,23083.38,True,f,
1007,Marc BERNADES OLLÉ,ES,36,H,35-39M,Grup. Excta. Oliana - BlueMotors,https://utmb.world/runner/352073.marc.bernadesolle,875.0,7.0,7.0,2.0,06:25:32,23132.86,True,f,
1019,Jordi GAMITO BAUS,ES,44,H,40-44M,Family Team,https://utmb.world/runner/257533.jordi.gamitobaus,840.0,8.0,8.0,1.0,06:41:12,24072.33,True,f,
1015,Matteo ANSELMI,IT,31,H,20-34M,SCARPA/SPORT PROJECT VCO,https://utmb.world/runner/3476719.matteo.anselmi,860.0,9.0,9.0,5.0,06:49:20,24560.17,True,f,
1021,Alejandro VILLARINO,ES,28,H,20-34M,Merrell,https://utmb.world/runner/2252259.alejandro.villarino,832.0,10.0,10.0,6.0,06:49:54,24594.36,True,f,
1030,David PRADES MONFORT,ES,33,H,20-34M,Trangoworld,https://utmb.world/runner/117498.david.pradesmonfort,832.0,11.0,11.0,7.0,06:52:27,24747.35,True,f,
1045,Igor GOIKOLEA LARRAURI,ES,32,H,20-34M,Gaikar Zortzietakoak,https://utmb.world/runner/4814812.igor.goikolealarrauri,765.0,12.0,12.0,8.0,06:55:18,24918.55,True,f,
1012,Anna TARASOVA,AN,42,F,40-44W,Norda Trail Team ,https://utmb.world/runner/3162541.anna.tarasova,765.0,13.0,1.0,1.0,06:57:37,25057.45,True,f,
1020,Alvaro GONZALEZ DEL SALTO,ES,28,H,20-34M,Kailas FUGA Team,https://utmb.world/runner/4173836.alvaro.gonzalezdelsalto,837.0,14.0,13.0,9.0,07:00:24,25224.04,True,f,
1024,Albi CEDRÈS VIÑOLY,ES,36,H,35-39M, Team Lurbel Canarias,https://utmb.world/runner/1628373.albi.cedresvinoly,816.0,15.0,14.0,3.0,07:00:31,25231.19,True,f,
1040,Oriol BARBANY BOFILL,ES,30,H,20-34M,Roots Performance,https://utmb.world/runner/669174.oriol.barbanybofill,788.0,16.0,15.0,10.0,07:07:38,25658.54,True,f,
1048,Xenxo LASO VÁZQUEZ,ES,37,H,35-39M,KORPORE ARENTEIRO TRAIL,https://utmb.world/runner/4257661.xenxo.lasovazquez,730.0,17.0,16.0,4.0,07:18:53,26333.54,True,f,
1044,Jérôme REMACLE,BE,39,H,35-39M,Logomotif.lu - Nelles Malmedy,https://utmb.world/runner/1460307.jerome.remacle,759.0,18.0,17.0,5.0,07:23:10,26590.33,True,f,
