# Race: TransJeju BY UTMB 2022 - TransJeju 10
# Distance: 10.27 km
# D+: 200 m
# D-: 200 m
# Date: N/A
# URL: https://live.utmb.world/transjeju/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5204,Michael Marantelli,AU,38,H,,,,,1.0,1.0,,00:42:43,2563.98,True,f,
5214,Wonjin Lee,KR,44,H,,,https://utmb.world/runner/1459963.wonjin.lee,,2.0,2.0,,00:44:38,2678.16,True,f,
5144,Junseong Hong,KR,42,H,,,https://utmb.world/runner/4056084.junseong.hong,,3.0,3.0,,00:45:06,2706.29,True,f,
5196,Cheol jin Kang,KR,43,H,,,https://utmb.world/runner/1712179.cheoljin.kang,,4.0,4.0,,00:45:57,2757.97,True,f,
5154,Aurelien Marchand,FR,33,H,,,,,5.0,5.0,,00:46:50,2810.0,True,f,
5055,Jun wei dylan Lim,SG,25,H,,,,,6.0,6.0,,00:49:16,2956.0,True,f,
5164,Sang ryul Han,KR,53,H,,,https://utmb.world/runner/1712167.sangryul.han,,7.0,7.0,,00:49:45,2985.49,True,f,
5217,Kevin Mejicanos,US,39,H,,,,,8.0,8.0,,00:51:13,3073.54,True,f,
6215,Briony Marantelli,AU,35,F,,,,,9.0,1.0,,00:52:20,3140.4,True,f,
6163,An Kihyeon,KR,31,F,,,,,10.0,2.0,,00:52:39,3159.45,True,f,
5094,Jungmyung Oh,KR,37,H,,,,,11.0,9.0,,00:56:08,3368.04,True,f,
5083,Sangwon Yoon,KR,36,H,,,,,12.0,10.0,,00:56:12,3372.56,True,f,
6164,Rina Jung,KR,33,F,,,,,13.0,3.0,,00:57:06,3426.0,True,f,
5197,Jongmin Jung,KR,37,H,,,https://utmb.world/runner/3050321.jongmin.jung,,14.0,11.0,,00:57:43,3463.02,True,f,
5161,Jaejoon Kim,KR,39,H,,,,,15.0,12.0,,00:57:46,3466.95,True,f,
5199,Minseong Choi,KR,33,H,,,,,16.0,13.0,,00:59:04,3544.75,True,f,
5007,Jangkyu Lee,KR,37,H,,,,,17.0,14.0,,00:59:08,3548.38,True,f,
5139,Shaun Chae,KR,43,H,,,,,18.0,15.0,,00:59:38,3578.63,True,f,
5086,Byeong jun Lee,KR,37,H,,,,,19.0,16.0,,01:00:10,3610.48,True,f,
5160,Jun mo Kim,KR,43,H,,,,,20.0,17.0,,01:00:11,3611.71,True,f,
5092,Min Kang,KR,29,H,,,,,21.0,18.0,,01:00:19,3619.67,True,f,
5162,Sungjin Kim,KR,44,H,,,https://utmb.world/runner/4545260.sungjin.kim,,22.0,19.0,,01:00:22,3622.74,True,f,
5138,Sangmin Kim,KR,42,H,,,,,23.0,20.0,,01:00:30,3630.51,True,f,
5069,Hyunju Jang,KR,34,H,,,,,24.0,21.0,,01:00:35,3635.0,True,f,
5127,Jin seok Baek,KR,35,H,,,,,25.0,22.0,,01:01:08,3668.0,True,f,
6237,Mitchell KELSEY,KR,35,F,,,,,26.0,4.0,1.0,01:01:17,3677.91,True,f,
5080,Mujun Kim,KR,34,H,,,,,27.0,23.0,,01:01:27,3687.83,True,f,
5195,Suwon Lee,KR,31,H,,,,,28.0,24.0,,01:01:39,3699.05,True,f,
6205,Sunsook Kim,KR,66,F,,,,,28.0,5.0,,01:01:39,3699.76,True,f,
5067,Dong-kyu Ho,KR,39,H,,,,,30.0,25.0,,01:02:04,3724.23,True,f,
5193,Jongseop Kwon,KR,60,H,,,,,31.0,26.0,,01:02:30,3750.61,True,f,
5105,Jaehyun Yu,KR,42,H,,,,,32.0,27.0,,01:02:56,3776.46,True,f,
5109,Gwang jun Kim,KR,44,H,,,,,33.0,28.0,,01:03:30,3810.0,True,f,
5201,Jaegook Lee,KR,36,H,,,,,34.0,29.0,,01:03:37,3817.0,True,f,
5014,Sanghyun Seo,KR,39,H,,,,,35.0,30.0,,01:03:47,3827.73,True,f,
5192,Yun sik Kim,KR,33,H,,,,,36.0,31.0,,01:03:56,3836.7,True,f,
6032,Eunyoung Jung,KR,36,F,,,,,37.0,6.0,,01:04:04,3844.97,True,f,
5029,Min Ra,KR,39,H,,,https://utmb.world/runner/4288491.min.ra,,38.0,32.0,,01:04:18,3858.01,True,f,
5142,Pascal Cresseaux,KR,53,H,,,,,39.0,33.0,,01:04:24,3864.02,True,f,
5039,Jinmo Jung,KR,31,H,,,,,40.0,34.0,,01:04:27,3867.32,True,f,
6196,Sungsil Kim,KR,33,F,,,,,41.0,7.0,,01:05:42,3942.91,True,f,
5081,Ikhwan Kwon,KR,41,H,,,,,42.0,35.0,,01:05:45,3945.97,True,f,
5060,Jong won Choi,KR,45,H,,,,,43.0,36.0,,01:05:47,3947.66,True,f,
5070,Sun woong Choi,KR,34,H,,,,,44.0,37.0,,01:05:50,3950.72,True,f,
6103,Ahreum Cho,KR,44,F,,,,,45.0,8.0,,01:05:57,3957.97,True,f,
5013,Jinhan Kim,KR,34,H,,,,,46.0,38.0,,01:06:24,3984.63,True,f,
5079,Seungchul Lee,KR,35,H,,,,,47.0,39.0,,01:06:39,3999.12,True,f,
6219,Carrie Pasquale,US,34,F,,,,,48.0,9.0,,01:07:36,4056.53,True,f,
6039,Heejin Yoon,KR,28,F,,,,,49.0,10.0,,01:07:37,4057.57,True,f,
5024,Donghyun Kim,KR,51,H,,,,,50.0,40.0,,01:07:48,4068.84,True,f,
5165,Hayeon Hwang,KR,43,H,,,,,51.0,41.0,,01:07:51,4071.0,True,f,
6102,Seonhee Lee,KR,49,F,,,,,52.0,11.0,,01:08:04,4084.06,True,f,
6087,Yeajin Lee,KR,27,F,,,,,53.0,12.0,,01:08:25,4105.14,True,f,
5077,Youngjun Kwak,KR,41,H,,,,,54.0,42.0,,01:08:31,4111.06,True,f,
5084,Hansu Hwang,KR,46,H,,,,,55.0,43.0,,01:08:36,4116.07,True,f,
5123,Inho Eom,KR,39,H,,,,,56.0,44.0,,01:08:52,4132.46,True,f,
5011,Seonggeon Ahn,KR,38,H,,,,,57.0,45.0,,01:08:55,4135.08,True,f,
6015,Jinju Choi,KR,37,F,,,,,58.0,13.0,,01:09:01,4141.25,True,f,
5050,Hun hu Choi,KR,28,H,,,,,59.0,46.0,,01:09:27,4167.08,True,f,
6207,Yoonjeong Bae,KR,38,F,,,,,60.0,14.0,,01:09:39,4179.45,True,f,
6213,Dorothy Dennis,US,27,F,,,,,61.0,15.0,,01:09:40,4180.11,True,f,
6001,Mikyung Kim,KR,34,F,,,,,62.0,16.0,,01:10:05,4205.49,True,f,
5051,Sanghoon Kim,KR,37,H,,,,,63.0,47.0,,01:10:07,4207.63,True,f,
5057,Seong hoon Oh,KR,45,H,,,,,64.0,48.0,,01:10:16,4216.27,True,f,
6004,Jiyeon Ha,KR,31,F,,,,,65.0,17.0,,01:10:19,4219.14,True,f,
5061,Chang hwan Lee,KR,51,H,,,,,66.0,49.0,,01:10:21,4221.0,True,f,
5168,Sangho Kim,KR,53,H,,,,,67.0,50.0,,01:10:23,4223.59,True,f,
5076,byeong wook choo,KR,43,H,,,,,68.0,51.0,,01:10:46,4246.56,True,f,
5179,Younghun Park,KR,36,H,,,,,69.0,52.0,,01:11:07,4267.76,True,f,
5163,Won joong Kim,KR,39,H,,,,,70.0,53.0,,01:11:15,4275.07,True,f,
5058,Jungsik Lee,KR,67,H,,,,,71.0,54.0,,01:11:25,4285.29,True,f,
6101,Do yeon Kim,KR,31,F,,,,,72.0,18.0,,01:11:27,4287.65,True,f,
6193,Youri Hong,KR,43,F,,,,,73.0,19.0,,01:11:28,4288.05,True,f,
6222,JOUNGSOON PAEK,KR,51,F,,,,,73.0,19.0,,01:11:28,4288.86,True,f,
6172,Nina Jung,AU,40,F,,,,,73.0,19.0,,01:11:28,4288.75,True,f,
5180,Younghyo Park,KR,43,H,,,,,76.0,55.0,,01:11:48,4308.32,True,f,
6165,Gizela Van der sandt,ZA,38,F,,,,,77.0,22.0,,01:12:07,4327.33,True,f,
6005,Hoonhee Hong,KR,33,F,,,,,78.0,23.0,,01:12:23,4343.9,True,f,
5082,Seunghan Cha,KR,46,H,,,,,79.0,56.0,,01:13:11,4391.2,True,f,
5104,Woong yi Kim,KR,41,H,,,,,80.0,57.0,,01:13:35,4415.45,True,f,
6085,Jahyoung Choi,KR,48,F,,,,,81.0,24.0,,01:13:52,4432.99,True,f,
5212,Chris Pasquale,US,31,H,,,https://utmb.world/runner/1730887.chris.pasquale,,82.0,58.0,,01:13:56,4436.08,True,f,
5182,Nick Cook,US,46,H,,,,,83.0,59.0,,01:13:58,4438.43,True,f,
6201,Min ji Kang,KR,29,F,,,,,84.0,25.0,,01:14:07,4447.64,True,f,
5188,Hansaem Koh,KR,33,H,,,,,85.0,60.0,,01:14:21,4461.24,True,f,
6094,Juyoung Jung,KR,44,F,,,,,86.0,26.0,,01:14:22,4462.29,True,f,
5049,Jinkwan Cho,KR,37,H,,,,,87.0,61.0,,01:14:51,4491.29,True,f,
6091,Jongeun Park,KR,37,F,,,https://utmb.world/runner/4259235.jongeun.park,,88.0,27.0,,01:14:59,4499.94,True,f,
5152,Seung jun Lee,KR,27,H,,,,,89.0,62.0,,01:15:04,4504.48,True,f,
5036,Dongwon Lee,KR,48,H,,,,,90.0,63.0,,01:15:07,4507.14,True,f,
6045,Jaeyoung Lee,KR,31,F,,,https://utmb.world/runner/4302097.jaeyoung.lee,,91.0,28.0,,01:15:11,4511.19,True,f,
6049,Minjeong Kim,KR,31,F,,,,,92.0,29.0,,01:15:13,4513.83,True,f,
5099,Jin nam Park,KR,38,H,,,,,93.0,64.0,,01:15:26,4526.0,True,f,
5134,Noah Song,KR,37,H,,,,,94.0,65.0,,01:15:28,4528.35,True,f,
6229,Jinseul CHOI,KR,34,F,,,,,95.0,30.0,2.0,01:15:35,4535.01,True,f,
5073,Gyeong je Cho,KR,36,H,,,,,96.0,66.0,,01:15:55,4555.0,True,f,
5005,Heejin Kim,KR,42,H,,,,,97.0,67.0,,01:16:05,4565.87,True,f,
5101,Heungil Kim,KR,42,H,,,,,98.0,68.0,,01:16:13,4573.94,True,f,
5087,Dong woo Kim,KR,33,H,,,,,99.0,69.0,,01:16:20,4580.57,True,f,
5090,Chin wah Tan,SG,68,H,,,,,100.0,70.0,,01:16:40,4600.87,True,f,
5062,Hyunbeen Kim,KR,33,H,,,,,101.0,71.0,,01:16:51,4611.14,True,f,
5147,Soongeon Lee,KR,39,H,,,,,102.0,72.0,,01:17:08,4628.07,True,f,
5026,Yoonkwan Kim,KR,58,H,,,,,103.0,73.0,,01:17:11,4631.63,True,f,
6195,Uyanga Khishigsuren,MN,29,F,,,,,104.0,31.0,,01:17:12,4632.31,True,f,
6083,Meseoun Lee,KR,51,F,,,,,105.0,32.0,,01:17:34,4654.52,True,f,
5035,Monika Heathcote,ZA,37,H,,,,,106.0,74.0,,01:17:39,4659.0,True,f,
5211,Jun hong Oh,KR,24,H,,,,,107.0,75.0,,01:17:43,4663.9,True,f,
6105,Misuk Lee,KR,32,F,,,,,108.0,33.0,,01:17:47,4667.0,True,f,
5016,최원준 Choi,KR,59,H,,,,,109.0,76.0,,01:18:02,4682.75,True,f,
6136,Eunsook Kim,KR,42,F,,,,,110.0,34.0,,01:18:14,4694.56,True,f,
5097,Hogun Kim,KR,54,H,,,,,111.0,77.0,,01:18:30,4710.0,True,f,
6123,Hyuna Jo,KR,32,F,,,,,112.0,35.0,,01:18:41,4721.76,True,f,
6122,Yun jung Hwang,KR,57,F,,,,,113.0,36.0,,01:18:46,4726.42,True,f,
