# Race: Trail du Saint-Jacques by UTMB 2025 2025 - Le 12 du Dolaizon
# Distance: 12 km
# D+: 210 m
# D-: 210 m
# Date: 2025-06-15
# URL: https://live.utmb.world/tsj/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
9173,Loïc BOIS,FR,38,H,35-39M,,https://utmb.world/runner/1689393.loic.bois,,1.0,1.0,1.0,00:52:29,3148.935,True,f,
9154,Noé COTTIER,FR,26,H,20-34M,,https://utmb.world/runner/7138341.noe.cottier,,2.0,2.0,1.0,00:54:05,3244.393,True,f,
9160,Jonathan ROMEUF,FR,41,H,40-44M,Velay athlétisme,https://utmb.world/runner/924059.jonathan.romeuf,,3.0,3.0,1.0,00:55:24,3323.926,True,f,
9003,Jeremy DUMAS,FR,36,H,35-39M,Velay athletisme,https://utmb.world/runner/924121.jeremy.dumas,592.0,4.0,4.0,2.0,00:55:34,3334.211,True,f,
9202,Jean-Luc MOURE,FR,62,H,60-64M,1421D+,https://utmb.world/runner/924251.jeanluc.moure,,5.0,5.0,1.0,00:56:23,3382.663,True,f,
9001,Baptiste MASSIN,FR,41,H,40-44M,Fitrunsports,https://utmb.world/runner/924029.baptiste.massin,622.0,6.0,6.0,2.0,00:56:36,3395.382,True,f,
9271,Antonin PERRUSSEL,FR,17,H,16-17M,VELAY ATHLETISME,https://utmb.world/runner/7221523.antonin.perrussel,,7.0,7.0,1.0,00:57:25,3444.851,True,f,
9012,Alexandre FAURE,FR,28,H,20-34M,Les foulées de Saint-Germain,https://utmb.world/runner/6844542.alexandre.faure,515.0,8.0,8.0,2.0,00:57:41,3460.363,True,f,
9074,Jorge NUNES ROCHA,PT,28,H,20-34M,,https://utmb.world/runner/7045267.jorge.nunesrocha,,9.0,9.0,3.0,00:57:51,3470.952,True,f,
9221,Ugo GAILLARD,FR,21,H,20-34M,,https://utmb.world/runner/7076845.ugo.gaillard,,10.0,10.0,4.0,01:00:17,3617.441,True,f,
9016,Carlos QUEIROS DE OLIVEIRA,FR,50,H,50-54M,TEAM PISTACHE / VALS DU DAUPHINE OLYMPIC,https://utmb.world/runner/6967751.carlos.queirosdeoliveira,500.0,11.0,11.0,1.0,01:00:40,3639.369,True,f,
9006,Pierre PERBET,FR,37,H,35-39M,,https://utmb.world/runner/2122303.pierre.perbet,556.0,12.0,12.0,3.0,01:01:17,3677.429,True,f,
9005,Julian RIFFARD,FR,31,H,20-34M,Comité des fêtes ST GERMAIN,https://utmb.world/runner/6681708.julian.riffard,571.0,13.0,13.0,5.0,01:01:41,3701.47,True,f,
9182,Kevin LAGARRIGUE,FR,32,H,20-34M,,https://utmb.world/runner/6965063.kevin.lagarrigue,,14.0,14.0,6.0,01:02:01,3721.291,True,f,
9268,Pierre MACHABERT,FR,39,H,35-39M,,https://utmb.world/runner/4866281.pierre.machabert,656.0,15.0,15.0,4.0,01:02:19,3738.81,True,f,
9018,Denis DUCHAMP,FR,40,H,40-44M,,https://utmb.world/runner/1810107.denis.duchamp,497.0,16.0,16.0,3.0,01:03:35,3814.66,True,f,
9214,Xavier LAURENT,FR,29,H,20-34M,,https://utmb.world/runner/6972681.xavier.laurent,,17.0,17.0,7.0,01:03:41,3821.56,True,f,
9123,Louis VEROTS,FR,32,H,20-34M,,https://utmb.world/runner/6964917.louis.verots,,18.0,18.0,8.0,01:03:54,3833.502,True,f,
9014,Luca ANTHOUARD,FR,35,H,35-39M,,https://utmb.world/runner/6681908.luca.anthouard,513.0,19.0,19.0,5.0,01:04:03,3842.919,True,f,
9223,Dominique RIOUFFREYT,FR,60,H,60-64M,,https://utmb.world/runner/7078803.dominique.riouffreyt,,20.0,20.0,2.0,01:04:19,3858.971,True,f,
9172,Manon ANSALDI,FR,27,F,20-34W,,https://utmb.world/runner/6964851.manon.ansaldi,,21.0,1.0,1.0,01:04:34,3873.821,True,f,
9078,Antoine BOURDAIS,FR,20,H,20-34M,,https://utmb.world/runner/7008921.antoine.bourdais,,22.0,21.0,9.0,01:04:44,3883.81,True,f,
9289,Solan KARCHER,FR,21,H,20-34M,,https://utmb.world/runner/7341217.solan.karcher,,23.0,22.0,10.0,01:05:02,3902.017,True,f,
9262,Lisa AUDRAS,FR,30,F,20-34W,,https://utmb.world/runner/7033277.lisa.audras,,24.0,2.0,2.0,01:05:09,3908.113,True,f,
