# Race: Ultra-Trail Australia 2022 - UTA22
# Distance: 19.4 km
# D+: 660 m
# D-: 660 m
# Date: N/A
# URL: https://live.utmb.world/uta/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2615,Robbie Begg,AU,40,H,Vet M,,https://utmb.world/runner/4159029.robbie.begg,739.0,1.0,1.0,1.0,01:16:23,4583.12,True,f,
4793,Courtney Atkinson,AU,46,H,MasterM,,https://utmb.world/runner/1695591.courtney.atkinson,787.0,2.0,2.0,1.0,01:18:05,4685.03,True,f,
2698,Liam Mckenzie,AU,36,H,Vet M,,https://utmb.world/runner/4121607.liam.mckenzie,745.0,3.0,3.0,2.0,01:18:34,4714.0,True,f,
2600,James Alexander,AU,37,H,Vet M,,https://utmb.world/runner/2076755.james.alexander,757.0,4.0,4.0,3.0,01:20:57,4856.47,True,f,
2623,Charlie Brooks,AU,33,H,Vet M,,https://utmb.world/runner/730535.charlie.brooks,750.0,5.0,5.0,4.0,01:20:58,4857.61,True,f,
2710,Lachlan Oakes,AU,38,H,Vet M,,https://utmb.world/runner/4799624.lachlan.oakes,,6.0,6.0,5.0,01:21:07,4866.63,True,f,
2730,Kye Robinson,AU,21,H,OpenM,,https://utmb.world/runner/4799626.kye.robinson,,7.0,7.0,1.0,01:22:54,4974.15,True,f,
2613,Alex Bate,AU,34,H,Vet M,,https://utmb.world/runner/4158216.alex.bate,656.0,8.0,8.0,6.0,01:23:33,5013.6,True,f,
2690,Justin Lucas,AU,42,H,Vet M,,https://utmb.world/runner/1817161.justin.lucas,,9.0,9.0,7.0,01:24:06,5046.0,True,f,
2622,Adrian Boyn,AU,48,H,MasterM,,https://utmb.world/runner/4799628.adrian.boyn,,10.0,10.0,2.0,01:24:41,5081.0,True,f,
2662,Tommy Goodall,AU,40,H,Vet M,,https://utmb.world/runner/1695625.tommy.goodall,721.0,11.0,11.0,8.0,01:25:10,5110.0,True,f,
2614,Jordi Bates,AU,46,H,MasterM,,https://utmb.world/runner/1912307.jordi.bates,702.0,12.0,12.0,3.0,01:25:15,5115.56,True,f,
2619,Matt Blundell,NZ,54,H,SupMasM,,https://utmb.world/runner/4799630.matt.blundell,,13.0,13.0,1.0,01:27:07,5226.5,True,f,
4784,Michael Fell,AU,32,H,OpenM,,https://utmb.world/runner/3518961.michael.fell,673.0,14.0,14.0,2.0,01:29:30,5370.0,True,f,
2684,Andrew Lansdown,AU,47,H,MasterM,,https://utmb.world/runner/4799632.andrew.lansdown,,15.0,15.0,4.0,01:29:50,5390.0,True,f,
2616,Brynn Berg,AU,27,H,OpenM,,https://utmb.world/runner/4799634.brynn.berg,,16.0,16.0,3.0,01:30:36,5436.0,True,f,
4787,Nicholas Hills,AU,33,H,Vet M,,https://utmb.world/runner/4799636.nicholas.hills,,17.0,17.0,9.0,01:31:05,5465.0,True,f,
2604,Jordan Andersen,CA,38,H,Vet M,,https://utmb.world/runner/4799638.jordan.andersen,,18.0,18.0,10.0,01:31:28,5487.82,True,f,
4795,Ingrid Cleland,AU,46,F,MasterW,,https://utmb.world/runner/4799640.ingrid.cleland,,19.0,1.0,1.0,01:31:44,5504.0,True,f,
4590,Benjamin Millen,AU,47,H,MasterM,,https://utmb.world/runner/524281.benjamin.millen,639.0,20.0,19.0,5.0,01:31:52,5512.0,True,f,
2603,Paul Ambrose,AU,41,H,Vet M,,https://utmb.world/runner/4799642.paul.ambrose,,21.0,20.0,11.0,01:32:14,5534.14,True,f,
2694,Bradley McClelland,AU,28,H,OpenM,,https://utmb.world/runner/4799644.bradley.mcclelland,,22.0,21.0,4.0,01:32:16,5536.0,True,f,
2647,Cameron DODDS,AU,21,H,OpenM,,https://utmb.world/runner/4799646.cameron.dodds,,23.0,22.0,5.0,01:32:40,5560.0,True,f,
4792,Steve Bushby,NZ,39,H,Vet M,,https://utmb.world/runner/1049869.steve.bushby,,24.0,23.0,12.0,01:33:13,5593.0,True,f,
