# Race: Ultra-Trail Australia 2022 - UTA50
# Distance: 50 km
# D+: 1750 m
# D-: 1750 m
# Date: N/A
# URL: https://live.utmb.world/uta/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7205,Ben St Lawrence,AU,44,H,MasterM,,,,1.0,1.0,1.0,03:54:29,14069.16,True,f,
7318,Ronnie Sparke,GB,34,H,Vet M,,https://utmb.world/runner/1831587.ronnie.sparke,,2.0,2.0,1.0,03:55:03,14103.47,True,f,
8020,Piotr Babis,PL,35,H,Vet M,,,,3.0,3.0,2.0,03:55:32,14131.96,True,f,
5152,Jody Wall,NZ,47,H,MasterM,,,,6.0,6.0,2.0,04:11:41,15101.07,True,f,
7999,Sam Hopper,NZ,31,H,OpenM,,https://utmb.world/runner/294619.sam.hopper,776.0,8.0,8.0,2.0,04:14:01,15240.13,True,f,
7186,Gabriele Fior,IT,36,H,Vet M,,,,9.0,9.0,5.0,04:14:23,15263.04,True,f,
7174,Josh Bignell,AU,45,H,MasterM,,https://utmb.world/runner/2076731.josh.bignell,670.0,10.0,10.0,3.0,04:21:15,15675.04,True,f,
7211,Sean Whelan,AU,35,H,Vet M,,,,12.0,12.0,7.0,04:24:52,15892.11,True,f,
7410,Daniel Buenen,AU,38,H,Vet M,,,,13.0,13.0,8.0,04:25:28,15927.37,True,f,
5153,Christopher Wallace,GB,36,H,Vet M,,https://utmb.world/runner/316337.christopher.wallace,,14.0,14.0,9.0,04:30:29,16229.36,True,f,
8000,Daniel Grunbaum,AU,46,H,MasterM,,https://utmb.world/runner/890995.daniel.grunbaum,698.0,17.0,17.0,4.0,04:34:24,16463.31,True,f,
5147,Stephan Tornier,DE,37,H,Vet M,,,,18.0,18.0,12.0,04:35:07,16506.92,True,f,
7172,Alex Bate,AU,34,H,Vet M,,https://utmb.world/runner/4158216.alex.bate,656.0,19.0,19.0,13.0,04:35:53,16553.16,True,f,
7206,Daniel Thompson,GB,46,H,MasterM,,https://utmb.world/runner/807623.daniel.thompson,,20.0,20.0,5.0,04:36:11,16570.09,True,f,
7191,Daniel Hall,AU,36,H,Vet M,,https://utmb.world/runner/3104813.daniel.hall,659.0,21.0,21.0,14.0,04:37:55,16674.67,True,f,
7203,Thomas Scott,AU,40,H,Vet M,,https://utmb.world/runner/3793297.thomas.scott,658.0,23.0,23.0,16.0,04:39:30,16770.24,True,f,
5140,Neil Spreitzer,AU,56,H,SupMasM,,https://utmb.world/runner/891663.neil.spreitzer,673.0,24.0,24.0,1.0,04:40:01,16801.55,True,f,
7953,Louie Minnett,AU,24,H,OpenM,,,,25.0,25.0,3.0,04:41:14,16874.72,True,f,
7212,Sam Williams,AU,30,H,OpenM,,https://utmb.world/runner/4158221.sam.williams,612.0,26.0,26.0,4.0,04:41:26,16885.69,True,f,
5165,Scott Cummins,AU,31,H,OpenM,,https://utmb.world/runner/4072710.scott.cummins,751.0,27.0,27.0,5.0,04:42:21,16941.31,True,f,
7189,Roy Gibbs,AU,40,H,Vet M,,,,28.0,28.0,17.0,04:46:00,17159.18,True,f,
5347,Rob Webb,AU,41,H,Vet M,,,,29.0,29.0,18.0,04:46:01,17161.19,True,f,
7923,Darren Moyle,AU,53,H,SupMasM,,https://utmb.world/runner/282031.darren.moyle,408.0,30.0,30.0,2.0,04:46:23,17182.99,True,f,
8013,Joe Murphy,NZ,48,H,MasterM,,https://utmb.world/runner/2075599.joe.murphy,542.0,31.0,31.0,6.0,04:47:52,17272.45,True,f,
7165,Patricia McKibbin,AU,38,F,Vet W,,https://utmb.world/runner/3657167.patricia.mckibbin,676.0,32.0,1.0,1.0,04:48:17,17296.74,True,f,
5298,Ned MacGregor,AU,32,H,OpenM,,https://utmb.world/runner/4158536.ned.macgregor,659.0,34.0,33.0,7.0,04:50:54,17454.5,True,f,
7048,Benjamin Schnebli,AU,38,H,Vet M,,,,35.0,34.0,19.0,04:51:07,17466.37,True,f,
6682,Will Berry,AU,27,H,OpenM,,,,37.0,35.0,8.0,04:56:51,17810.91,True,f,
7104,Paddy Trihey,AU,26,H,OpenM,,,,39.0,37.0,9.0,04:58:19,17898.98,True,f,
7178,Adam Coates,AU,46,H,MasterM,,,,40.0,38.0,7.0,04:58:58,17938.14,True,f,
7882,Gerard Riordan,AU,35,H,Vet M,,https://utmb.world/runner/854277.gerard.riordan,682.0,41.0,39.0,21.0,04:59:22,17962.13,True,f,
7201,oliver MORELL,AU,36,H,Vet M,,,,43.0,41.0,23.0,05:04:07,18247.21,True,f,
7224,Gillian Turnbull,AU,44,F,MasterW,,https://utmb.world/runner/4458876.gillian.turnbull,595.0,44.0,3.0,2.0,05:05:21,18321.39,True,f,
7159,Georgina Beech,AU,37,F,Vet W,,https://utmb.world/runner/1455859.georgina.beech,612.0,45.0,4.0,2.0,05:05:51,18350.82,True,f,
7230,Andrew Boak,AU,48,H,MasterM,,,,46.0,42.0,8.0,05:05:57,18356.13,True,f,
7185,Steve Evans,AU,45,H,MasterM,,https://utmb.world/runner/4158507.steve.evans,547.0,47.0,43.0,9.0,05:06:42,18402.1,True,f,
7871,Jack Mcphee,AU,29,H,OpenM,,https://utmb.world/runner/4158616.jack.mcphee,465.0,48.0,44.0,10.0,05:07:04,18424.36,True,f,
7214,Sophie Broome,GB,32,F,OpenW,,https://utmb.world/runner/4106217.sophie.broome,512.0,49.0,5.0,1.0,05:07:10,18430.68,True,f,
7876,Anna Pillinger,AU,44,F,MasterW,,,,50.0,6.0,3.0,05:07:36,18455.76,True,f,
7199,Darragh McDonnell,IE,39,H,Vet M,,,,51.0,45.0,24.0,05:07:41,18460.17,True,f,
7193,Robert Hurford,GB,38,H,Vet M,,,,52.0,46.0,25.0,05:07:44,18464.67,True,f,
5308,Daniel Mitchell,AU,41,H,Vet M,,,,53.0,47.0,26.0,05:09:02,18541.77,True,f,
5128,Caio Peculis,AU,37,H,Vet M,,,,55.0,49.0,27.0,05:09:03,18543.52,True,f,
7175,Cedric Boudier,FR,49,H,MasterM,,,,56.0,50.0,10.0,05:09:10,18549.95,True,f,
7559,George Henderson,GB,33,H,Vet M,,,,57.0,51.0,28.0,05:09:38,18578.73,True,f,
5145,Jared Thompson,AU,44,H,MasterM,,https://utmb.world/runner/3105995.jared.thompson,568.0,59.0,52.0,11.0,05:10:10,18609.71,True,f,
7190,Tim Goddard,AU,42,H,Vet M,,,,61.0,54.0,30.0,05:10:53,18652.27,True,f,
7870,Abhishek Tiwari,NP,38,H,Vet M,,https://utmb.world/runner/3010701.abhishek.tiwari,521.0,62.0,55.0,31.0,05:11:17,18677.21,True,f,
7251,Adam Page,AU,30,H,OpenM,,,,64.0,57.0,11.0,05:11:36,18696.07,True,f,
5330,Jeremiah Smith,AU,29,H,OpenM,,,,66.0,59.0,12.0,05:12:37,18757.88,True,f,
8019,Zac Oneil,AU,29,H,OpenM,,https://utmb.world/runner/4158217.zac.oneil,691.0,68.0,60.0,13.0,05:12:56,18775.84,True,f,
7981,Tom Pritchard,GB,44,H,MasterM,,https://utmb.world/runner/2624461.tom.pritchard,,69.0,61.0,12.0,05:13:03,18783.48,True,f,
7604,Michael skaroupka,AU,37,H,Vet M,,,,70.0,62.0,34.0,05:13:12,18791.53,True,f,
7241,Anthony Hayward,AU,53,H,SupMasM,,https://utmb.world/runner/4217057.anthony.hayward,580.0,71.0,63.0,4.0,05:14:10,18850.66,True,f,
5344,Ivan Walkling,AU,40,H,Vet M,,,,72.0,64.0,35.0,05:14:53,18892.68,True,f,
7176,Michael Bray,AU,49,H,MasterM,,,,73.0,65.0,13.0,05:15:27,18926.71,True,f,
7293,Phillip Favaloro,AU,31,H,OpenM,,,,74.0,66.0,14.0,05:15:43,18942.6,True,f,
7097,John Thomas,AU,42,H,Vet M,,,,75.0,67.0,36.0,05:16:40,18999.67,True,f,
8025,Jamie Anderson,NZ,47,H,MasterM,,,,76.0,68.0,14.0,05:16:50,19009.95,True,f,
