# Race: Ultra-Trail Australia 2025 - UTAMiler
# Distance: 161.5 km
# D+: 7290 m
# D-: 7290 m
# Date: 2025-05-15
# URL: https://live.utmb.world/uta/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
270,Eric CONCÉ,FR,48,H,45-49M,,https://utmb.world/runner/440389.eric.conce,776.0,1.0,1.0,1.0,18:55:24,68123.789,True,f,
420,Quinton GILL,CA,31,H,20-34M,,https://utmb.world/runner/4159025.quinton.gill,778.0,2.0,2.0,1.0,19:47:49,71268.986,True,f,
406,Chris MCAULIFFE,AU,39,H,35-39M,,https://utmb.world/runner/4743286.chris.mcauliffe,722.0,3.0,3.0,1.0,20:22:06,73326.197,True,f,
286,Grant BRISBIN,AU,43,H,40-44M,,https://utmb.world/runner/891453.grant.brisbin,702.0,4.0,4.0,1.0,20:53:50,75230.527,True,f,
381,Akito NAGAO,JP,37,H,35-39M,,https://utmb.world/runner/953337.akito.nagao,745.0,5.0,5.0,2.0,20:56:43,75403.713,True,f,
179,Ronan MCNALLY,IE,43,H,40-44M,,https://utmb.world/runner/3838491.ronan.mcnally,702.0,6.0,6.0,2.0,21:09:52,76191.344,True,f,
200,Luke NICHOLS,AU,37,H,35-39M,,https://utmb.world/runner/4919902.luke.nichols,744.0,7.0,7.0,3.0,21:10:37,76236.911,True,f,
284,Chris STEPHENS,AU,40,H,40-44M,,https://utmb.world/runner/4658114.chris.stephens,688.0,8.0,8.0,3.0,21:49:38,78578.34,True,f,
275,Meghann COFFEY,AU,32,F,20-34W,,https://utmb.world/runner/615282.meghann.coffey,,9.0,1.0,1.0,21:52:24,78744.58,True,f,
3,Vlad SHATROV,AU,47,H,45-49M,,https://utmb.world/runner/891437.vlad.shatrov,797.0,10.0,9.0,2.0,22:19:47,80386.813,True,f,
4,Cecilia MATTAS,AU,34,F,20-34W,No,https://utmb.world/runner/3104419.cecilia.mattas,694.0,11.0,2.0,2.0,22:43:24,81803.506,True,f,
213,Ashley HARINK,AU,33,H,20-34M,,https://utmb.world/runner/4320758.ashley.harink,672.0,12.0,10.0,2.0,22:47:22,82041.927,True,f,
254,Jim VILLIERS,AU,54,H,50-54M,,https://utmb.world/runner/21555.jim.villiers,621.0,13.0,11.0,1.0,23:08:16,83296.054,True,f,
5,Kellie ANGEL,AU,39,F,35-39W,"Hoka, COROS, Camelbak, T8",https://utmb.world/runner/4455628.kellie.angel,701.0,14.0,3.0,1.0,23:14:05,83644.978,True,f,
75,Jaime BLACK,AU,33,H,20-34M,,https://utmb.world/runner/3010339.jaime.black,616.0,15.0,12.0,3.0,23:16:45,83804.813,True,f,
402,Cameron KERR,NZ,30,H,20-34M,,https://utmb.world/runner/4414748.cameron.kerr,790.0,16.0,13.0,4.0,23:25:16,84316.724,True,f,
186,Sean CANNING,IE,35,H,35-39M,,https://utmb.world/runner/5644555.sean.canning,583.0,17.0,14.0,4.0,23:45:45,85545.405,True,f,
199,Rhys LAWLER,AU,42,H,40-44M,,https://utmb.world/runner/5081541.rhys.lawler,660.0,18.0,15.0,4.0,23:46:38,85597.999,True,f,
347,Jasmine VOLLMER,AU,36,F,35-39W,,https://utmb.world/runner/3104895.jasmine.vollmer,639.0,19.0,4.0,2.0,23:48:57,85737.523,True,f,
408,Benjamin WILSON,AU,40,H,40-44M,,https://utmb.world/runner/1855409.benjamin.wilson,609.0,20.0,16.0,5.0,23:50:19,85819.531,True,f,
7,Emma TIMMIS,NZ,41,F,40-44W,Don Greigs Racing Stables club.  Hoka.  Tailwind.  Leki,https://utmb.world/runner/1343975.emma.timmis,652.0,21.0,5.0,1.0,24:02:43,86562.796,True,f,
326,Charlotte LOMAS,AU,26,F,20-34W,,https://utmb.world/runner/4805100.charlotte.lomas,546.0,22.0,6.0,3.0,24:25:05,87905.097,True,f,
299,Jared PENTECOST,AU,32,H,20-34M,,https://utmb.world/runner/4158220.jared.pentecost,659.0,23.0,17.0,5.0,24:28:42,88122.021,True,f,
294,Matevz SLAPNICAR,SI,56,H,55-59M,,https://utmb.world/runner/267414.matevz.slapnicar,,24.0,18.0,1.0,24:33:48,88427.75,True,f,
335,Ullas NARAYANA,IN,45,H,45-49M,,https://utmb.world/runner/6783103.ullas.narayana,,25.0,19.0,3.0,24:38:51,88730.421,True,f,
63,Tim CHIU,AU,50,H,50-54M,,https://utmb.world/runner/5507319.tim.chiu,596.0,26.0,20.0,2.0,24:39:58,88798.459,True,f,
9,Lou CLIFTON,AU,53,F,50-54W,La Sportiva Australia,https://utmb.world/runner/636661.lou.clifton,646.0,27.0,7.0,1.0,24:44:01,89041.156,True,f,
273,Oliver PAGE,AU,45,H,45-49M,,https://utmb.world/runner/637299.oliver.page,650.0,28.0,21.0,4.0,24:45:57,89156.533,True,f,
30,Steve EVANS,AU,45,H,45-49M,,https://utmb.world/runner/4158507.steve.evans,630.0,29.0,22.0,5.0,24:53:12,89591.851,True,f,
226,Scott BAKER,AU,36,H,35-39M,,https://utmb.world/runner/454977.scott.baker,612.0,30.0,23.0,5.0,25:14:54,90893.798,True,f,
8,Claire O BRIEN SMITH,AU,34,F,20-34W,,https://utmb.world/runner/2609381.claire.obriensmith,632.0,31.0,8.0,4.0,25:37:48,92267.532,True,f,
225,Paul MCBRIDE,AU,42,H,40-44M,,https://utmb.world/runner/3400261.paul.mcbride,597.0,32.0,24.0,6.0,25:46:12,92771.862,True,f,
143,Tim AITKEN,AU,50,H,50-54M,,https://utmb.world/runner/5718705.tim.aitken,587.0,33.0,25.0,3.0,25:47:05,92824.479,True,f,
232,Daniel HALL,AU,36,H,35-39M,,https://utmb.world/runner/3104813.daniel.hall,696.0,34.0,26.0,6.0,25:47:35,92855.07,True,f,
336,Dylan COLE-JONES,AU,53,H,50-54M,,https://utmb.world/runner/524300.dylan.colejones,634.0,35.0,27.0,4.0,25:55:46,93346.794,True,f,
61,Ruth EAGLES,AU,47,F,45-49W,,https://utmb.world/runner/5086544.ruth.eagles,623.0,36.0,9.0,1.0,25:58:41,93520.215,True,f,
187,Olivia HULBERT,AU,28,F,20-34W,,https://utmb.world/runner/4919990.olivia.hulbert,593.0,37.0,10.0,5.0,26:00:01,93601.1,True,f,
18,Anne HAND,AU,42,F,40-44W,,https://utmb.world/runner/4805130.anne.hand,554.0,38.0,11.0,2.0,26:24:27,95067.678,True,f,
426,Jones PETERS,AU,18,H,18-19M,,https://utmb.world/runner/7248571.jones.peters,,39.0,28.0,1.0,26:30:58,95457.51,True,f,
353,Ewan HORSBURGH,AU,48,H,45-49M,,https://utmb.world/runner/21559.ewan.horsburgh,614.0,40.0,29.0,6.0,26:35:09,95709.249,True,f,
223,Andrew MCDERMOTT,AU,48,H,45-49M,,https://utmb.world/runner/5981901.andrew.mcdermott,484.0,41.0,30.0,7.0,26:39:06,95946.28,True,f,
303,Blake ARNOLD,AU,27,H,20-34M,,https://utmb.world/runner/4804508.blake.arnold,596.0,42.0,31.0,6.0,26:45:16,96316.547,True,f,
137,Toby SMITHSON,GB,54,H,50-54M,,https://utmb.world/runner/52472.toby.smithson,562.0,43.0,32.0,5.0,27:09:59,97799.606,True,f,
242,Luke RAYMOND,AU,46,H,45-49M,,https://utmb.world/runner/4080688.luke.raymond,582.0,44.0,33.0,8.0,27:20:59,98458.95,True,f,
414,Hao ZHANG,AU,38,H,35-39M,,https://utmb.world/runner/1052459.hao.zhang,570.0,45.0,34.0,7.0,27:23:17,98596.784,True,f,
198,Hugues DE ROCQUIGNY,AU,36,H,35-39M,,https://utmb.world/runner/4158259.hugues.derocquigny,578.0,46.0,35.0,8.0,27:24:44,98684.289,True,f,
212,Joel HARVEY,AU,36,H,35-39M,,https://utmb.world/runner/4158544.joel.harvey,570.0,47.0,36.0,9.0,27:26:41,98800.786,True,f,
307,Jj BLAIKLOCK,AU,50,H,50-54M,,https://utmb.world/runner/4847636.jj.blaiklock,623.0,48.0,37.0,6.0,27:31:34,99094.001,True,f,
31,Jacob HACKER,AU,31,H,20-34M,,https://utmb.world/runner/5506433.jacob.hacker,553.0,49.0,38.0,7.0,27:43:20,99800.197,True,f,
87,Harry MURDOCH,AU,33,H,20-34M,,https://utmb.world/runner/4158223.harry.murdoch,595.0,50.0,39.0,8.0,27:43:30,99809.706,True,f,
352,Lloyd SITHOLE,ZA,40,H,40-44M,,https://utmb.world/runner/1141575.lloyd.sithole,635.0,51.0,40.0,7.0,27:43:36,99816.427,True,f,
417,Tom PAYTON,AU,30,H,20-34M,,https://utmb.world/runner/5077203.tom.payton,604.0,52.0,41.0,9.0,27:47:42,100062.123,True,f,
229,James WYATT,AU,28,H,20-34M,,https://utmb.world/runner/5403523.james.wyatt,499.0,53.0,42.0,10.0,27:58:29,100708.958,True,f,
113,John MC HUGH-DOLAN,IE,30,H,20-34M,,https://utmb.world/runner/6230545.john.mchughdolan,498.0,54.0,43.0,11.0,27:59:05,100745.368,True,f,
191,Jonathan FORREST,AU,39,H,35-39M,,https://utmb.world/runner/1695791.jonathan.forrest,731.0,55.0,44.0,10.0,28:00:09,100808.993,True,f,
57,Chris BEAVON,AU,42,H,40-44M,,https://utmb.world/runner/171515.chris.beavon,618.0,56.0,45.0,8.0,28:01:20,100879.493,True,f,
283,Neil KELLY,AU,44,H,40-44M,,https://utmb.world/runner/2016937.neil.kelly,,57.0,46.0,9.0,28:26:32,102391.54,True,f,
380,Melissa ROBERTSON,AU,44,F,40-44W,,https://utmb.world/runner/625082.melissa.robertson,553.0,58.0,12.0,3.0,28:27:41,102461.169,True,f,
151,Matthew MORGAN,AU,25,H,20-34M,,https://utmb.world/runner/5982519.matthew.morgan,,59.0,47.0,12.0,28:38:47,103126.222,True,f,
328,Chris HARRIS,AU,35,H,35-39M,,https://utmb.world/runner/5983293.chris.harris,571.0,60.0,48.0,11.0,28:38:59,103139.115,True,f,
415,Baoping ZHANG,SG,56,H,55-59M,,https://utmb.world/runner/1455671.baoping.zhang,560.0,61.0,49.0,2.0,28:52:09,103929.205,True,f,
407,Mat GRILLS,AU,43,H,40-44M,,https://utmb.world/runner/21880.mat.grills,608.0,62.0,50.0,10.0,28:55:15,104115.134,True,f,
298,David BROMHEAD,AU,45,H,45-49M,,https://utmb.world/runner/2635759.david.bromhead,575.0,63.0,51.0,9.0,28:59:11,104351.592,True,f,
358,James NICKLESS,AU,42,H,40-44M,,https://utmb.world/runner/5982089.james.nickless,538.0,64.0,52.0,11.0,29:03:15,104595.105,True,f,
184,Maxwell JAMBOR,AU,31,H,20-34M,,https://utmb.world/runner/4804680.maxwell.jambor,585.0,65.0,53.0,13.0,29:03:52,104632.022,True,f,
424,Henry JAMBOR,AU,27,H,20-34M,,https://utmb.world/runner/5711752.henry.jambor,545.0,66.0,54.0,14.0,29:03:53,104632.716,True,f,
356,Jerome BORGHGRAEF,BE,30,H,20-34M,,https://utmb.world/runner/3206327.jerome.borghgraef,566.0,67.0,55.0,15.0,29:05:04,104703.846,True,f,
27,Aidan D'ARCY,AU,33,H,20-34M,,https://utmb.world/runner/4968932.aidan.darcy,519.0,68.0,56.0,16.0,29:13:07,105187.256,True,f,
351,Mike MATTHEWS,AU,53,H,50-54M,,https://utmb.world/runner/854256.mike.matthews,570.0,69.0,57.0,7.0,29:15:06,105306.167,True,f,
339,Sunyeob KIM,KR,37,H,35-39M,,https://utmb.world/runner/4174511.sunyeob.kim,632.0,70.0,58.0,12.0,29:16:53,105413.174,True,f,
371,Daniel CABAN,AU,29,H,20-34M,,https://utmb.world/runner/3400341.daniel.caban,551.0,71.0,59.0,17.0,29:17:51,105470.324,True,f,
323,Siyong YOU,KR,51,H,50-54M,,https://utmb.world/runner/4187218.siyong.you,526.0,72.0,60.0,8.0,29:19:16,105556.7,True,f,
422,Meisha STRYKOWSKI,AU,46,F,45-49W,,https://utmb.world/runner/4805146.meisha.strykowski,524.0,73.0,13.0,2.0,29:19:59,105599.459,True,f,
103,Mitchell PERKINS,AU,39,H,35-39M,,https://utmb.world/runner/4805150.mitchell.perkins,498.0,74.0,61.0,13.0,29:23:59,105838.981,True,f,
344,Joshua BERRY,AU,31,H,20-34M,,https://utmb.world/runner/4805086.joshua.berry,514.0,75.0,62.0,18.0,29:26:42,106001.759,True,f,
343,Jessica CANNINGS,AU,38,F,35-39W,,https://utmb.world/runner/4805002.jessica.cannings,569.0,76.0,14.0,3.0,29:28:08,106087.809,True,f,
164,Jarad CANNINGS,AU,39,H,35-39M,,https://utmb.world/runner/5983447.jarad.cannings,530.0,76.0,63.0,14.0,29:28:08,106087.96,True,f,
383,Yusheng NI,CN,55,H,55-59M,,https://utmb.world/runner/227696.yusheng.ni,634.0,78.0,64.0,3.0,29:28:19,106098.786,True,f,
