# Race: Ultra Trail Snowdonia by UTMB® 2023 - UTS 100K
# Distance: 103 km
# D+: 6400 m
# D-: 6400 m
# Date: 2023-05-13
# URL: https://live.utmb.world/uts/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
501,Jean - Philippe TSCHUMI,,43,H,40-44M,HOKA,https://utmb.world/runner/970923.jeanphilippe.tschumi,893.0,1.0,1.0,1.0,13:27:28,48448,True,f,
505,Tom OWENS,,44,H,40-44M,Salomon,https://utmb.world/runner/5865.tom.owens,838.0,2.0,2.0,2.0,13:31:10,48670,True,f,
516,Keith WIGLEY,,32,H,20-34M,Swaledale Runners,https://utmb.world/runner/2566355.keith.wigley,835.0,3.0,3.0,1.0,13:33:18,48798,True,f,
518,Hugh CHATFIELD,,31,H,20-34M,Tring Running Club,https://utmb.world/runner/4460426.hugh.chatfield,809.0,4.0,4.0,2.0,13:59:23,50363,True,f,
506,Jack SCOTT,,31,H,20-34M,Inov8,https://utmb.world/runner/2164885.jack.scott,801.0,5.0,5.0,3.0,14:20:36,51636,True,f,
1156,Vemund ØVSTEHAGE,,31,H,20-34M,Salomon Norway,,,6.0,6.0,4.0,14:59:14,53954,True,f,
1219,Shane LYNCH,,46,H,40-44M,Glenmore AC,https://utmb.world/runner/1071697.shane.lynch,725.0,7.0,7.0,3.0,15:36:33,56193,True,f,
509,William WHITE,,31,H,20-34M,North Leeds Fell Runners,https://utmb.world/runner/4880401.william.white,759.0,8.0,8.0,5.0,16:01:42,57702,True,f,
1126,Matthew CHRISTIAN,,33,H,20-34M,Manx Fell Runners,https://utmb.world/runner/2592549.matthew.christian,691.0,9.0,9.0,6.0,16:19:59,58799,True,f,
510,Tim PIGOTT,,45,H,40-44M,Team Scarpa / Sidas / Supernatural Fuel / TeamHP3,https://utmb.world/runner/685752.tim.pigott,753.0,10.0,10.0,4.0,16:21:52,58912,True,f,
554,Nick BERRY,,42,H,40-44M,,https://utmb.world/runner/3034531.nicholas.berry,688.0,11.0,11.0,5.0,16:26:00,59160,True,f,
536,Rogan MARTIN,,41,H,35-39M,GTR trail runners/Fitstuff,https://utmb.world/runner/1714645.rogan.martin,688.0,12.0,12.0,1.0,16:30:10,59410,True,f,
550,James CARR,,36,H,20-34M,,https://utmb.world/runner/3418011.james.carr,685.0,13.0,13.0,7.0,16:30:14,59414,True,f,
588,Martin WILSON,,42,H,40-44M,Durham Fell Runners,https://utmb.world/runner/1714635.martin.wilson,679.0,14.0,14.0,6.0,16:39:55,59995,True,f,
535,Moritz DAMMANN,,37,H,35-39M,,https://utmb.world/runner/2236185.moritz.dammann,689.0,15.0,15.0,2.0,16:40:18,60018,True,f,
532,Oscar ANDERSSON,,33,H,20-34M,,https://utmb.world/runner/677429.oscar.andersson,692.0,16.0,16.0,8.0,16:42:30,60150,True,f,
522,Lizzie ATKINS,,41,F,35-39W,,https://utmb.world/runner/148430.lizzie.wraith,676.0,17.0,1.0,1.0,16:44:09,60249,True,f,
1124,Mark THRELFALL,,37,H,35-39M,Global Triathlon Network,https://utmb.world/runner/5178088.mark.threlfall,668.0,18.0,17.0,3.0,16:54:44,60884,True,f,
529,Robyn CASSIDY,,37,F,35-39W,,https://utmb.world/runner/4462630.robyn.cassidy,666.0,19.0,2.0,2.0,16:59:19,61159,True,f,
531,Niels BLINDEMAN,,34,H,20-34M,Nolimitt,https://utmb.world/runner/428109.niels.blindeman,694.0,20.0,18.0,9.0,17:09:16,61756,True,f,
599,Siyang WANG,,38,H,35-39M,,https://utmb.world/runner/4502702.siyang.wang,654.0,21.0,19.0,4.0,17:17:15,62235,True,f,
1060,Julian GOUDGE,,54,H,50-54M,Horwich RMI Harriers,https://utmb.world/runner/3884811.julian.goudge,649.0,22.0,20.0,1.0,17:24:01,62641,True,f,
832,Jack WALSH,,28,H,20-34M,,https://utmb.world/runner/4775730.jack.walsh,649.0,23.0,21.0,10.0,17:26:31,62791,True,f,
552,Jon WILLIAMS,,51,H,45-49M,Hengoed Harriers,https://utmb.world/runner/150929.jonathan.williams,657.0,24.0,22.0,1.0,17:30:45,63045,True,f,
681,Tom ELDRED,,35,H,20-34M,,https://utmb.world/runner/3192379.tom.eldred,640.0,25.0,23.0,11.0,17:39:54,63594,True,f,
602,Pawel PIETAK,,38,H,35-39M,Polish Runners in UK,https://utmb.world/runner/4568374.pawel.pietak,640.0,26.0,24.0,5.0,17:41:21,63681,True,f,
517,Rachel FAWCETT,,51,F,45-49W,Leighton Buzzard Athletics club,https://utmb.world/runner/1477935.rachel.fawcett,644.0,27.0,3.0,1.0,17:46:04,63964,True,f,
780,Caspian JAMES,,34,H,20-34M,Salty Slugs,https://utmb.world/runner/4633912.caspian.james,636.0,28.0,25.0,12.0,17:47:34,64054,True,f,
519,Rob PAYNE,,36,H,20-34M,Caistor RC,https://utmb.world/runner/1057837.robert.payne,724.0,29.0,26.0,13.0,17:55:11,64511,True,f,
523,Maxime LELONG,,42,H,40-44M,2EP,https://utmb.world/runner/429308.maxime.lelong,713.0,30.0,27.0,7.0,17:57:11,64631,True,f,
533,Nick BAILEY,,46,H,40-44M,,https://utmb.world/runner/855412.nick.bailey,689.0,31.0,28.0,8.0,17:57:38,64658,True,f,
525,Ellen VITTING,,40,F,35-39W,Kenmare AC,https://utmb.world/runner/2967703.ellen.vitting,630.0,32.0,4.0,3.0,18:02:55,64975,True,f,
1203,Derek MULLEN.,,51,H,45-49M,Trim AC,https://utmb.world/runner/5178090.derek.mullen-,625.0,33.0,29.0,2.0,18:02:56,64976,True,f,
564,Sam HUSBAND,,34,H,20-34M,Greenbow RC,https://utmb.world/runner/4244106.sam.husband,642.0,34.0,30.0,14.0,18:08:59,65339,True,f,
541,Christophe NICAISE,,45,H,40-44M,,https://utmb.world/runner/313967.christophe.nicaise,677.0,35.0,31.0,9.0,18:11:55,65515,True,f,
569,David ADAMS,,42,H,40-44M,,https://utmb.world/runner/4309424.david.adams,632.0,36.0,32.0,10.0,18:24:47,66287,True,f,
567,Antony JAMES,,33,H,20-34M,,https://utmb.world/runner/4244104.antony.james,636.0,36.0,32.0,15.0,18:24:47,66287,True,f,
664,Cameron SIMCOCK,,32,H,20-34M,,https://utmb.world/runner/4633840.cameron.simcock,604.0,38.0,34.0,16.0,18:43:34,67414,True,f,
559,Kelsey HOGAN,,30,F,20-34W,,https://utmb.world/runner/1714861.kelsey.hogan,602.0,39.0,5.0,1.0,18:46:59,67619,True,f,
566,Robert HURFORD,,38,H,35-39M,,https://utmb.world/runner/4467052.robert.hurford,641.0,40.0,35.0,6.0,18:49:37,67777,True,f,
562,Mark SHANNON,,46,H,40-44M,,https://utmb.world/runner/207196.mark.shannon,642.0,41.0,36.0,11.0,18:53:03,67983,True,f,
787,Callum MCBREARTY,,28,H,20-34M,,https://utmb.world/runner/4277533.callum.mcbrearty,598.0,42.0,37.0,17.0,18:55:08,68108,True,f,
534,Marek WOJNAROWSKI,,54,H,50-54M,Polish Runners Club Ireland,https://utmb.world/runner/2523705.marek.wojnarowski,690.0,43.0,38.0,2.0,18:57:59,68279,True,f,
1213,David EVANS,,33,H,20-34M,,https://utmb.world/runner/1674285.david.evans,595.0,44.0,39.0,18.0,18:59:22,68362,True,f,
625,James ANDERSON,,37,H,35-39M,,https://utmb.world/runner/960629.james.anderson,596.0,45.0,40.0,7.0,19:03:44,68624,True,f,
561,Michael ZEIDAN,,49,H,45-49M,,https://utmb.world/runner/1088951.michael.zeidan,647.0,46.0,41.0,3.0,19:04:05,68645,True,f,
648,Sebastien BROSSELLIER,,38,H,35-39M,ENT’RAID 49,https://utmb.world/runner/1308811.sebastien.brossellier,594.0,47.0,42.0,8.0,19:04:21,68661,True,f,
578,Lee IRELAND,,50,H,45-49M,,https://utmb.world/runner/2140377.lee.ireland,626.0,48.0,43.0,4.0,19:05:00,68700,True,f,
644,Richard O'CONNOR,,51,H,45-49M,Madmule,https://utmb.world/runner/4471905.richard.oconnor,592.0,49.0,44.0,5.0,19:07:47,68867,True,f,
606,Henry PRIDDIS,,28,H,20-34M,,https://utmb.world/runner/4004018.henry.priddis,603.0,50.0,45.0,19.0,19:15:56,69356,True,f,
605,James MARTIN,,45,H,40-44M,N/A,https://utmb.world/runner/3131899.james.martin,605.0,51.0,46.0,12.0,19:20:44,69644,True,f,
580,Tore VÅLAND,,43,H,40-44M,Dale Fjelløpere,https://utmb.world/runner/4434148.tore.valand,623.0,52.0,47.0,13.0,19:22:41,69761,True,f,
521,Silje Skorve SKARPEID,,40,F,35-39W,GTI Friidrettsklubb,https://utmb.world/runner/676070.silje.skarpeid,629.0,52.0,6.0,4.0,19:22:41,69761,True,f,
575,Ryan VALE,,37,H,35-39M,,https://utmb.world/runner/4413082.ryan.vale,630.0,54.0,48.0,9.0,19:26:40,70000,True,f,
1121,Bleddyn JONES,,48,H,45-49M,Parc Bryn Bach,https://utmb.world/runner/4982187.bleddyn.jones,580.0,55.0,49.0,6.0,19:28:34,70114,True,f,
643,Sam CONNOR,,45,H,40-44M,Hookwood,https://utmb.world/runner/3597533.sam.connor,587.0,56.0,50.0,14.0,19:31:17,70277,True,f,
608,Jack PATTERSON,,36,H,20-34M,,https://utmb.world/runner/4205679.jack.patterson,600.0,57.0,51.0,20.0,19:38:56,70736,True,f,
712,Chris MILLINER,,54,H,50-54M,,https://utmb.world/runner/317903.chris.milliner,574.0,58.0,52.0,3.0,19:43:01,70981,True,f,
581,James BELLIN,,44,H,40-44M,MDC,https://utmb.world/runner/1774303.james.bellin,623.0,59.0,53.0,15.0,19:43:46,71026,True,f,
1131,David HATFIELD,,40,H,35-39M,,https://utmb.world/runner/1443311.david.hatfield,572.0,60.0,54.0,10.0,19:43:51,71031,True,f,
1056,Nick SCHWEITZER,,34,H,20-34M,,https://utmb.world/runner/4880325.nick.schweitzer,571.0,61.0,55.0,21.0,19:46:44,71204,True,f,
526,Karen HACKER,,43,F,40-44W,Chippenham harriers,https://utmb.world/runner/2469907.karen.hacker,618.0,62.0,7.0,1.0,19:47:10,71230,True,f,
540,Brett WATERS,,37,H,35-39M,,https://utmb.world/runner/2687979.brett.waters,677.0,63.0,56.0,11.0,19:47:11,71231,True,f,
1153,Christopher WARNER,,44,H,40-44M,,https://utmb.world/runner/201473.christopher.warner,570.0,64.0,57.0,16.0,19:47:46,71266,True,f,
572,Bob GILLILAND,,43,H,40-44M,Lewes AC,https://utmb.world/runner/3292829.bob.gilliland,631.0,65.0,58.0,17.0,19:51:00,71460,True,f,
717,Ben HART,,41,H,35-39M,Green runners,https://utmb.world/runner/4176642.ben.hart,568.0,66.0,59.0,12.0,19:55:24,71724,True,f,
1138,Alex COLLINS,,45,H,40-44M,London Heathside,https://utmb.world/runner/384632.alex.collins,565.0,67.0,60.0,18.0,19:59:10,71950,True,f,
981,Guy FRANCE,,31,H,20-34M,,https://utmb.world/runner/4244064.guy.france,564.0,68.0,61.0,22.0,20:03:47,72227,True,f,
722,George LUCAS,,30,H,20-34M,,https://utmb.world/runner/1290977.george.lucas,563.0,69.0,62.0,23.0,20:05:36,72336,True,f,
740,Tim ALLEN,,33,H,20-34M,,https://utmb.world/runner/4250464.tim.allen,561.0,70.0,63.0,24.0,20:08:52,72532,True,f,
708,Stefan HAMILTON,,46,H,40-44M,Wexford Marathon Club,https://utmb.world/runner/3479101.stefan.hamilton,557.0,71.0,64.0,19.0,20:19:17,73157,True,f,
733,Dermot MAGUIRE,,53,H,50-54M,,https://utmb.world/runner/1164267.dermot.maguire,557.0,71.0,64.0,4.0,20:19:17,73157,True,f,
640,Nicholas BARRINGTON,,32,H,20-34M,,https://utmb.world/runner/4435884.nicholas.barrington,585.0,73.0,66.0,25.0,20:22:16,73336,True,f,
715,Nicolas GALLONE,,40,H,35-39M,,https://utmb.world/runner/2255049.nicolas.gallone,555.0,74.0,67.0,13.0,20:22:17,73337,True,f,
728,Romans CERNENKO,,39,H,35-39M,,https://utmb.world/runner/1674269.romans.cernenko,554.0,75.0,68.0,14.0,20:24:33,73473,True,f,
634,Jack SCARR,,31,H,20-34M,,https://utmb.world/runner/4137712.jack.scarr,585.0,76.0,69.0,26.0,20:24:58,73498,True,f,
778,Robin VAN DER ZON,,39,H,35-39M,Team Mentaal,https://utmb.world/runner/1310383.robin.vanderzon,554.0,77.0,70.0,15.0,20:25:55,73555,True,f,
1093,Morten ELLIS,,38,H,35-39M,,https://utmb.world/runner/712964.morten.ellis,552.0,78.0,71.0,16.0,20:26:42,73602,True,f,
630,James HUTCHINS,,54,H,50-54M,,https://utmb.world/runner/2200683.james.hutchins,588.0,79.0,72.0,5.0,20:27:13,73633,True,f,
528,Paul O SULLIVAN,,46,H,40-44M,,https://utmb.world/runner/192893.paul.osullivan,699.0,80.0,73.0,20.0,20:29:51,73791,True,f,
553,Frederick SKARBEK,,33,H,20-34M,Ful-on Tri,https://utmb.world/runner/4938893.frederick.skarbek,657.0,81.0,74.0,27.0,20:31:00,73860,True,f,
600,Gavin DUNNE,,45,H,40-44M,,https://utmb.world/runner/5178092.gavin.dunne,549.0,82.0,75.0,21.0,20:33:42,74022,True,f,
631,James LAZENBY,,29,H,20-34M,,https://utmb.world/runner/4244101.james.lazenby,588.0,83.0,76.0,28.0,20:34:03,74043,True,f,
579,Anthony CONSTABLE,,40,H,35-39M,,https://utmb.world/runner/3851437.anthony.constable,622.0,84.0,77.0,17.0,20:35:01,74101,True,f,
928,Glynn JONES,,37,H,35-39M,,https://utmb.world/runner/4633910.glynn.jones,549.0,85.0,78.0,18.0,20:35:36,74136,True,f,
584,Blayne KINLEY,,35,H,20-34M,,https://utmb.world/runner/5178094.blayne.kinley,548.0,86.0,79.0,29.0,20:35:45,74145,True,f,
1082,Isaac ALCAIDE,,44,H,40-44M,Running Coach 200,https://utmb.world/runner/2566375.isaac.alcaide,547.0,87.0,80.0,22.0,20:40:06,74406,True,f,
607,Tom SAWYER,,48,H,45-49M,,https://utmb.world/runner/2105913.tom.sawyer,602.0,88.0,81.0,7.0,20:40:23,74423,True,f,
563,Chun Keung LEUNG,,42,H,40-44M,Salomon Hong Kong,https://utmb.world/runner/76070.chunkeung.leung,642.0,89.0,82.0,23.0,20:43:05,74585,True,f,
622,Simon COPLESTONE,,44,H,40-44M,,https://utmb.world/runner/582879.simon.coplestone,593.0,90.0,83.0,24.0,20:47:07,74827,True,f,
1174,Harry ALLEN,,36,H,20-34M,,https://utmb.world/runner/3738939.harry.allen,543.0,91.0,84.0,30.0,20:47:10,74830,True,f,
867,Stuart DUGGAL,,31,H,20-34M,,https://utmb.world/runner/4180949.stuart.duggal,544.0,92.0,85.0,31.0,20:48:23,74903,True,f,
618,Wilf EVANS,,30,H,20-34M,CDF Runners,https://utmb.world/runner/4471481.wilf.evans,596.0,92.0,85.0,31.0,20:48:23,74903,True,f,
595,Dan JONES,,45,H,40-44M,,https://utmb.world/runner/2695659.dan.jones,611.0,94.0,87.0,25.0,20:49:28,74968,True,f,
678,Jay HADDLEY,,40,H,35-39M,Chester Tri Club,https://utmb.world/runner/4400136.jay.haddley,560.0,95.0,88.0,19.0,20:49:47,74987,True,f,
545,Ashley SCOTT,,38,H,35-39M,South Coast Sharks,https://utmb.world/runner/2515361.ashley.scott,673.0,96.0,89.0,20.0,20:51:31,75091,True,f,
755,Michael SMITH,,50,H,45-49M,,https://utmb.world/runner/17872.michael.smith,541.0,97.0,90.0,8.0,20:54:29,75269,True,f,
598,Rafael DE ARAUJO PORTO,,42,H,40-44M,,https://utmb.world/runner/1362929.rafael.dearaujoporto,611.0,98.0,91.0,26.0,20:55:17,75317,True,f,
627,Tony LETTS,,57,H,55-59M,Northampton Road Runners,https://utmb.world/runner/534153.tony.letts,586.0,99.0,92.0,1.0,20:55:23,75323,True,f,
573,Stuart CHITTENDEN,,42,H,40-44M,,https://utmb.world/runner/3215629.stuart.chittenden,631.0,100.0,93.0,27.0,20:57:09,75429,True,f,
923,Daniel BRENNAN,,39,H,35-39M,,https://utmb.world/runner/4880349.daniel.brennan,536.0,101.0,94.0,21.0,21:06:28,75988,True,f,
1164,Nathan PRICE,,31,H,20-34M,,https://utmb.world/runner/4471483.nathan.price,535.0,102.0,95.0,33.0,21:06:57,76017,True,f,
520,Joe BAKER,,43,H,40-44M,Stadium Runnners,https://utmb.world/runner/2084397.joe.baker,721.0,103.0,96.0,28.0,21:07:12,76032,True,f,
724,Laura NEW,,31,F,20-34W,,https://utmb.world/runner/4462546.laura.new,533.0,104.0,8.0,2.0,21:14:12,76452,True,f,
692,Ammon PIEPGRASS,,49,H,45-49M,Harpenden Arrows,https://utmb.world/runner/992619.ammon.piepgrass,559.0,105.0,97.0,9.0,21:16:55,76615,True,f,
647,Terry ATKINSON,,55,H,50-54M,Harpenden Arrows,https://utmb.world/runner/4357516.terry.atkinson,581.0,106.0,98.0,6.0,21:16:56,76616,True,f,
615,Jesse HORGAN,,47,H,45-49M,,https://utmb.world/runner/4180888.jesse.horgan,598.0,107.0,99.0,10.0,21:24:08,77048,True,f,
1127,Arjan VAN DER ZON,,41,H,35-39M,,https://utmb.world/runner/4943197.arjan.vanderzon,526.0,108.0,100.0,22.0,21:27:00,77220,True,f,
826,James LECKENBY,,37,H,35-39M,,https://utmb.world/runner/4660768.james.leckenby,527.0,109.0,101.0,23.0,21:28:43,77323,True,f,
704,Richard SUDWORTH,,48,H,45-49M,,https://utmb.world/runner/4011912.richard.sudworth,550.0,110.0,102.0,11.0,21:29:18,77358,True,f,
590,Kristen O'SULLIVAN,,39,F,35-39W,Beara AC,https://utmb.world/runner/4212170.kristen.osullivan,550.0,111.0,9.0,5.0,21:30:11,77411,True,f,
705,John MERGLER,,66,H,60-64M,,https://utmb.world/runner/285938.john.mergler,548.0,112.0,103.0,1.0,21:30:20,77420,True,f,
1008,Marcin LIS,,44,H,40-44M,Longstanton & Northstowe Limpers,https://utmb.world/runner/4387794.marcin.lis,525.0,113.0,104.0,29.0,21:32:11,77531,True,f,
623,Joan HARO FERNÁNDEZ,,46,H,40-44M,,https://utmb.world/runner/644309.joan.harofernandez,592.0,114.0,105.0,30.0,21:39:17,77957,True,f,
667,Charles NELL,,34,H,20-34M,,https://utmb.world/runner/4641924.charles.nell,564.0,115.0,106.0,34.0,21:42:00,78120,True,f,
638,Conran BOYTON,,31,H,20-34M,Origin,https://utmb.world/runner/4570288.conran.boyton,587.0,116.0,107.0,35.0,21:42:47,78167,True,f,
729,Andrew HOLT,,52,H,50-54M,Dark Peak Fell Runners,https://utmb.world/runner/1640531.andrew.holt,539.0,117.0,108.0,7.0,21:51:00,78660,True,f,
1055,Walter Jowett SANDS,,27,H,20-34M,,https://utmb.world/runner/4880321.walterjowett.sands,516.0,118.0,109.0,36.0,21:52:39,78759,True,f,
639,Jason CUDDY,,43,H,40-44M,Runaway Racing,https://utmb.world/runner/563019.jason.cuddy,584.0,119.0,110.0,31.0,21:54:20,78860,True,f,
549,Celia WARING,,40,F,35-39W,Milocarian AC,https://utmb.world/runner/2650239.celia.waring,593.0,120.0,10.0,6.0,21:57:17,79037,True,f,
546,Hamish WARING,,41,H,35-39M,Milocarian AC,https://utmb.world/runner/116260.hamish.waring,671.0,120.0,111.0,24.0,21:57:17,79037,True,f,
596,Anthony (anton) AMBROSE,,46,H,40-44M,,https://utmb.world/runner/1812975.anton.ambrose,611.0,122.0,112.0,32.0,21:57:47,79067,True,f,
1081,Marc WARD,,43,H,40-44M,Vegan Runners UK,https://utmb.world/runner/4880227.marc.ward,513.0,123.0,113.0,33.0,22:01:19,79279,True,f,
689,Michael MCAULEY,,48,H,45-49M,Mallusk Harriers,https://utmb.world/runner/1443115.michael.mcauley,555.0,124.0,114.0,12.0,22:05:56,79556,True,f,
1159,Lee GRANT,,46,H,40-44M,,https://utmb.world/runner/4880293.lee.grant,509.0,125.0,115.0,34.0,22:11:07,79867,True,f,
555,Oskar HENRIKSSON,,31,H,20-34M,Kullamannen by UTMB,https://utmb.world/runner/297679.oskar.henriksson,655.0,126.0,116.0,37.0,22:11:51,79911,True,f,
781,George GHERASE,,43,H,40-44M,,https://utmb.world/runner/1643879.george.gherase,516.0,127.0,117.0,35.0,22:12:37,79957,True,f,
612,Andy JONES,,60,H,55-59M,Trail Running Association,https://utmb.world/runner/1791645.andy.jones,600.0,128.0,118.0,2.0,22:12:42,79962,True,f,
1165,Chris PARKES,,38,H,35-39M,,https://utmb.world/runner/4880307.chris.parkes,507.0,129.0,119.0,25.0,22:16:24,80184,True,f,
603,Francisco OTTONI PORTO,,52,H,50-54M,Mont Blanc Assessoria Esportiva,https://utmb.world/runner/543452.francisco.ottoniporto,604.0,130.0,120.0,8.0,22:17:04,80224,True,f,
812,Paul KILLIP,,44,H,40-44M,Vegan Runners,https://utmb.world/runner/4716928.paul.killip,508.0,131.0,121.0,36.0,22:17:14,80234,True,f,
686,Mick DOYLE,,58,H,55-59M,Stroud & District Athletics Club,https://utmb.world/runner/4570314.mick.doyle,559.0,132.0,122.0,3.0,22:21:30,80490,True,f,
637,Richard WORSFOLD,,46,H,40-44M,,https://utmb.world/runner/4511578.richard.worsfold,586.0,133.0,123.0,37.0,22:21:52,80512,True,f,
594,Owen REES,,51,H,45-49M,Eryri Harriers,https://utmb.world/runner/561797.owen.rees,613.0,134.0,124.0,13.0,22:21:56,80516,True,f,
743,Richard NUNAN,,56,H,50-54M,Columbia,https://utmb.world/runner/194166.richard.nunan,533.0,135.0,125.0,9.0,22:22:49,80569,True,f,
663,Stijn VAN HOOFF,,39,H,35-39M,,https://utmb.world/runner/4525118.stijn.vanhooff,575.0,136.0,126.0,26.0,22:24:01,80641,True,f,
1155,Henrijs RUSIS,,46,H,40-44M,Noskrien Cēsis,https://utmb.world/runner/5178096.henrijs.rusis,502.0,137.0,127.0,38.0,22:28:30,80910,True,f,
971,Carl SILVER,,51,H,45-49M,,https://utmb.world/runner/4511935.carl.silver,501.0,138.0,128.0,14.0,22:34:30,81270,True,f,
669,Jessica BIBBY,,34,F,20-34W,Cybi Striders,https://utmb.world/runner/4235983.jessica.bibby,502.0,139.0,11.0,3.0,22:36:43,81403,True,f,
586,Mark MCHALE,,37,H,35-39M,,https://utmb.world/runner/4919426.mark.mchale,618.0,140.0,129.0,27.0,22:37:36,81456,True,f,
726,Calum MALLORY,,33,H,20-34M,,https://utmb.world/runner/1178481.calum.mallory,540.0,141.0,130.0,38.0,22:38:21,81501,True,f,
557,Tim WHITCOMBE,,37,H,35-39M,Benfleet Running Club,https://utmb.world/runner/2652271.tim.whitcombe,651.0,142.0,131.0,28.0,22:39:58,81598,True,f,
1116,Daniel GILL,,47,H,45-49M,,https://utmb.world/runner/1057831.daniel.gill,498.0,143.0,132.0,15.0,22:40:55,81655,True,f,
851,Chris NUGENT,,45,H,40-44M,Vegan Runners/Guildford & Godalming Athletics Club,https://utmb.world/runner/4244142.chris.nugent,498.0,144.0,133.0,39.0,22:42:48,81768,True,f,
793,Peter O’KANE,,54,H,50-54M,,https://utmb.world/runner/5120763.peter.o---kane,,145.0,134.0,10.0,22:43:20,81800,True,f,
1204,Phillip DALTON,,38,H,35-39M,Inherit the Earth Running,https://utmb.world/runner/4949133.phillip.dalton,496.0,146.0,135.0,29.0,22:45:22,81922,True,f,
624,Jarek TURIF,,39,H,35-39M,TACH,https://utmb.world/runner/1286051.jarek.turif,591.0,147.0,136.0,30.0,22:47:58,82078,True,f,
757,Lewis FERGUSON,,38,H,35-39M,,https://utmb.world/runner/2194979.lewis.ferguson,527.0,148.0,137.0,31.0,22:48:22,82102,True,f,
791,Andrew GASKELL,,46,H,40-44M,,https://utmb.world/runner/4223674.andrew.gaskell,509.0,149.0,138.0,40.0,22:49:07,82147,True,f,
574,Melinda MARCHAL,,43,F,40-44W,Ealing Eagles,https://utmb.world/runner/4181952.melinda.marchal,553.0,150.0,12.0,2.0,22:52:18,82338,True,f,
732,Jason RICHARDS,,39,H,35-39M,,https://utmb.world/runner/3552559.jason.richards,536.0,151.0,139.0,32.0,22:52:45,82365,True,f,
918,Dan IRWIN,,50,H,45-49M,,https://utmb.world/runner/891027.dan.irwin,492.0,152.0,140.0,16.0,23:00:41,82841,True,f,
857,Neil DIXON,,47,H,45-49M,,https://utmb.world/runner/4244068.neil.dixon,491.0,153.0,141.0,17.0,23:03:16,82996,True,f,
709,Matthew KNIGHT,,46,H,40-44M,,https://utmb.world/runner/4244057.matthew.knight,586.0,154.0,142.0,41.0,23:05:56,83156,True,f,
739,Jayprakashsingh MAGHOO,,46,H,40-44M,rando trail nature,https://utmb.world/runner/2085561.jayprakashsingh.maghoo,542.0,155.0,143.0,42.0,23:14:03,83643,True,f,
1143,Adam FEARNALL,,35,H,20-34M,,https://utmb.world/runner/4576168.adam.fearnall,485.0,156.0,144.0,39.0,23:17:19,83839,True,f,
591,Laura JONES,,50,F,45-49W,,https://utmb.world/runner/1389331.laura.jones,540.0,157.0,13.0,2.0,23:18:38,83918,True,f,
1118,James BUDNIK,,35,H,20-34M,,https://utmb.world/runner/4880253.james.budnik,575.0,158.0,145.0,40.0,23:19:02,83942,True,f,
945,Lewis REEVES,,28,H,20-34M,,https://utmb.world/runner/4775778.lewis.reeves,485.0,159.0,146.0,41.0,23:19:34,83974,True,f,
767,Simon GEIGER,,28,H,20-34M,SCC Berlin,https://utmb.world/runner/4461892.simon.geiger,521.0,160.0,147.0,42.0,23:23:35,84215,True,f,
1209,Owen O'CONNOR,,28,H,20-34M,,https://utmb.world/runner/5178098.owen.oconnor,,161.0,148.0,43.0,23:28:43,84523,True,f,
1166,Ben COMERY,,36,H,20-34M,,https://utmb.world/runner/4004323.ben.comery,567.0,162.0,149.0,44.0,23:31:08,84668,True,f,
671,Matthew SUGDEN,,33,H,20-34M,,https://utmb.world/runner/2525239.matthew.sugden,563.0,163.0,150.0,45.0,23:31:09,84669,True,f,
1201,Sean MCQUAID,,36,H,20-34M,,https://utmb.world/runner/4942245.sean.mcquaid,478.0,164.0,151.0,46.0,23:37:45,85065,True,f,
619,William TAYLOR,,45,H,40-44M,Holme Pierrepont Running Club ,https://utmb.world/runner/3922735.william.taylor,594.0,165.0,152.0,43.0,23:38:13,85093,True,f,
713,Paul WOOLHOUSE,,52,H,50-54M,Pickering running club,https://utmb.world/runner/4444244.paul.woolhouse,546.0,166.0,153.0,11.0,23:38:14,85094,True,f,
