# Race: Ultra Trail Snowdonia by UTMB 2025 - ERYRI 25K
# Distance: 25 km
# D+: 1300 m
# D-: 1300 m
# Date: 2025-05-18
# URL: https://live.utmb.world/uts/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6097,Thomas HILTON,GB,19,H,18-19M,Moorfoot hill runners,https://utmb.world/runner/6737021.thomas.hilton,759.0,1.0,1.0,1.0,02:03:45,7425,True,f,
5001,Sam ATKINSON,GB,27,H,20-34M,Team OMM,https://utmb.world/runner/4703162.sam.atkinson,791.0,2.0,2.0,1.0,02:06:03,7563,True,f,
5623,Luke COTTER,GB,30,H,20-34M,,https://utmb.world/runner/6699325.luke.cotter,684.0,3.0,3.0,2.0,02:18:28,8308,True,f,
5002,William BIELBY,NZ,33,H,20-34M,,https://utmb.world/runner/3319783.william.bielby,723.0,4.0,4.0,3.0,02:20:21,8421,True,f,
5008,Frazer DURRIS,GB,49,H,45-49M,Trawden AC,https://utmb.world/runner/867382.frazer.durris,649.0,5.0,5.0,1.0,02:25:24,8724,True,f,
5005,Sam JONES,GB,33,H,20-34M,Mercia Fell Runners,https://utmb.world/runner/4240035.sam.jones,638.0,6.0,6.0,4.0,02:28:28,8908,True,f,
5013,Tim VAN BERKEL,NL,41,H,40-44M,Perran Trail Runners,https://utmb.world/runner/4277113.tim.vanberkel,628.0,7.0,7.0,1.0,02:29:52,8992,True,f,
5030,Kinga KWIATKOWSKA,PL,37,F,35-39W,Hoka Garmin Team,https://utmb.world/runner/907445.kinga.kwiatkowska,667.0,8.0,1.0,1.0,02:32:14,9134,True,f,
5017,Stephen SAVAGE,GB,44,H,40-44M,Wilmslow Running Club,https://utmb.world/runner/5531744.stephen.savage,611.0,9.0,8.0,2.0,02:33:58,9238,True,f,
5009,Toby COOKE,GB,31,H,20-34M,Maverick run project,https://utmb.world/runner/5224471.toby.cooke,617.0,10.0,9.0,5.0,02:34:54,9294,True,f,
5040,Tom HILLIDGE,GB,38,H,35-39M,,https://utmb.world/runner/5515967.tom.hillidge,604.0,11.0,10.0,1.0,02:35:49,9349,True,f,
5192,Rich JOHNSON,GB,31,H,20-34M,Redland Sexy Pace Run Club,https://utmb.world/runner/5819825.rich.johnson,602.0,12.0,11.0,6.0,02:36:04,9364,True,f,
5034,Dave TOWN,GB,39,H,35-39M,Bingley Harriers,https://utmb.world/runner/6944968.dave.town,579.0,13.0,12.0,2.0,02:42:26,9746,True,f,
5751,Charlotte RAWSTRON,GB,20,F,20-34W,,https://utmb.world/runner/7257259.charlotte.rawstron,576.0,14.0,2.0,1.0,02:42:59,9779,True,f,
5018,Alex VASS,GB,31,H,20-34M,Best Athletics,https://utmb.world/runner/4663874.alex.vass,590.0,15.0,13.0,7.0,02:44:55,9895,True,f,
6047,Jack SMITH,GB,36,H,35-39M,,https://utmb.world/runner/6518827.jack.smith,565.0,16.0,14.0,3.0,02:46:10,9970,True,f,
5007,Kamil ŻYŁKA,PL,32,H,20-34M,42K PRO TEAM,https://utmb.world/runner/4051344.kamil.zylka,617.0,17.0,15.0,8.0,02:46:45,10005,True,f,
5037,Matthew BETTS,GB,40,H,40-44M,Hillsborough & Rivelin RC,https://utmb.world/runner/6385963.matthew.betts,560.0,18.0,16.0,3.0,02:48:11,10091,True,f,
5532,Thomas BYRNE,IE,41,H,40-44M,,https://utmb.world/runner/6673515.thomas.byrne,559.0,19.0,17.0,4.0,02:48:20,10100,True,f,
