# Race: Valholl By UTMB 2023 - POWER 22K
# Distance: 20.7 km
# D+: 850 m
# D-: 850 m
# Date: 2023-05-14
# URL: https://live.utmb.world/valholl/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4186,Gonzalo SOSA,UY,38,H,35-39M,,https://utmb.world/runner/2533213.gonzalo.sosasosa,763.0,1.0,1.0,1.0,01:48:21,6501.81,True,f,
4014,Martin GRGICH,AR,40,H,35-39M,,https://utmb.world/runner/1801471.martin.grgich,718.0,2.0,2.0,2.0,01:55:23,6923.05,True,f,
4542,Jérémy PECQUEUR,FR,32,H,20-34M,,https://utmb.world/runner/3222541.jeremy.pecqueur,742.0,3.0,3.0,1.0,01:57:05,7025.49,True,f,
4032,Agustin ROJAS,AR,26,H,20-34M,,https://utmb.world/runner/4882699.agustin.rojas,697.0,4.0,4.0,2.0,01:58:38,7118.37,True,f,
4007,Esteban PAEZ,AR,27,H,20-34M,,https://utmb.world/runner/1196605.esteban.paez,691.0,5.0,5.0,3.0,01:59:57,7197.88,True,f,
4008,Guillermo RODRIGUEZ,AR,38,H,35-39M,,https://utmb.world/runner/4111630.guillermo.rodriguez,674.0,6.0,6.0,3.0,02:02:52,7372.64,True,f,
4012,German BOCCOLINI,AR,36,H,20-34M,,https://utmb.world/runner/1952349.german.boccolini,669.0,7.0,7.0,4.0,02:03:47,7427.94,True,f,
4077,Agustín PECANTET,AR,32,H,20-34M,,https://utmb.world/runner/4927372.agustin.pecantet,659.0,8.0,8.0,5.0,02:05:39,7539.33,True,f,
4096,Jose Maria PICCO,AR,33,H,20-34M,,https://utmb.world/runner/5139595.josemaria.picco,654.0,9.0,9.0,6.0,02:06:24,7584.41,True,f,
4074,Maikol MENDEZ,UY,32,H,20-34M,,https://utmb.world/runner/1872829.maikol.mendez,657.0,10.0,10.0,7.0,02:06:40,7600.38,True,f,
4068,Rodrigo MUÑOZ,AR,31,H,20-34M,,https://utmb.world/runner/4670160.rodrigo.munoz,649.0,11.0,11.0,8.0,02:07:42,7662.87,True,f,
4165,Esteban RAMIREZ,AR,37,H,35-39M,,https://utmb.world/runner/5139241.esteban.ramirez,640.0,12.0,12.0,4.0,02:09:14,7754.99,True,f,
4013,Diego David PEDROZO,AR,45,H,40-44M,,https://utmb.world/runner/5007957.diegodavid.pedrozo,640.0,13.0,13.0,1.0,02:09:31,7771.64,True,f,
4271,Ruben Darío FIGUEROA,AR,44,H,40-44M,,https://utmb.world/runner/4882695.rubendario.figueroa,636.0,14.0,14.0,2.0,02:10:01,7801.37,True,f,
4003,Nicolas HINOJOSA,AR,41,H,35-39M,,https://utmb.world/runner/1784863.nicolas.hinojosa,697.0,15.0,15.0,5.0,02:11:52,7912.98,True,f,
4168,Lucas Gabriel CHOQUE,AR,38,H,35-39M,,https://utmb.world/runner/4882681.lucasgabriel.choque,624.0,16.0,16.0,6.0,02:12:25,7945.05,True,f,
4213,Nelson Ruben FIORI,AR,40,H,35-39M,,https://utmb.world/runner/4308928.nelsonruben.fiori,625.0,17.0,17.0,7.0,02:12:34,7954.59,True,f,
4045,Lautaro NAVISKAS,AR,28,H,20-34M,,https://utmb.world/runner/5106577.lautaro.naviskas,615.0,18.0,18.0,9.0,02:14:29,8069.62,True,f,
4535,Maximiliano CASTAÑEDA,AR,27,H,20-34M,,https://utmb.world/runner/4296370.maximiliano.castanedacapobel,688.0,19.0,19.0,10.0,02:16:03,8163.48,True,f,
4287,David VALDIVIA PAZ,AR,44,H,40-44M,,https://utmb.world/runner/2666261.david.valdiviapaz,606.0,20.0,20.0,3.0,02:16:32,8192.05,True,f,
4190,Ezequiel ALBIZU,AR,39,H,35-39M,,https://utmb.world/runner/5101454.ezequiel.albizu,596.0,21.0,21.0,8.0,02:18:58,8338.71,True,f,
4316,Fernando MENENDEZ,AR,46,H,40-44M,,https://utmb.world/runner/4973845.fernando.menendez,592.0,22.0,22.0,4.0,02:19:43,8383.56,True,f,
4267,Federico ROVEA,AR,43,H,40-44M,,https://utmb.world/runner/1562227.federico.rovea,591.0,23.0,23.0,5.0,02:20:19,8419.67,True,f,
4002,María Belén SANCHEZ RUIZ,AR,29,F,20-34W,,https://utmb.world/runner/1785403.mariabelen.sanchezruiz,612.0,24.0,1.0,1.0,02:20:21,8421.02,True,f,
4031,Emanuel MARTINEZ,AR,26,H,20-34M,,https://utmb.world/runner/4882691.emanuel.martinez,580.0,25.0,24.0,11.0,02:22:34,8554.22,True,f,
4020,Mia PAN,AR,21,F,U20 W,,https://utmb.world/runner/4506122.mia.pan,581.0,26.0,2.0,1.0,02:22:36,8556.17,True,f,
4030,Emanuel ALVAREZ,AR,26,H,20-34M,,https://utmb.world/runner/4927380.emanuel.alvarez,580.0,27.0,25.0,12.0,02:22:46,8566.6,True,f,
4067,Dieter MACHIELS,BE,31,H,20-34M,,https://utmb.world/runner/4136346.dieter.machiels,573.0,28.0,26.0,13.0,02:24:38,8678.31,True,f,
4025,Elias Leonel PALACIOS,AR,24,H,20-34M,,https://utmb.world/runner/4994837.eliasleonel.palacios,570.0,29.0,27.0,14.0,02:24:59,8699.81,True,f,
4091,Nicolas GARCÍA,AR,33,H,20-34M,,https://utmb.world/runner/4882683.nicolas.garcia,570.0,30.0,28.0,15.0,02:25:09,8709.22,True,f,
