# Race: Valholl By UTMB 2023 - CHALLENGE 50k
# Distance: 49 km
# D+: 2350 m
# D-: 2350 m
# Date: 2023-05-13
# URL: https://live.utmb.world/valholl/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2001,Diego Ramon SIMON,AR,38,H,35-39M,,https://utmb.world/runner/892921.diegoramon.simon,809.0,1.0,1.0,1.0,05:24:55,19495.44,True,f,
2004,Mauro Laureano ROMERO,AR,32,H,20-34M,,https://utmb.world/runner/1332695.maurolaureano.romero,768.0,2.0,2.0,1.0,05:28:57,19737.85,True,f,
2002,Luciano PILATTI,AR,36,H,20-34M,,https://utmb.world/runner/477704.luciano.pilatti,782.0,3.0,3.0,2.0,05:50:24,21024.19,True,f,
2197,José Gabriel CHICHARO,AR,33,H,20-34M,,https://utmb.world/runner/3572385.josegabriel.chicharo,683.0,4.0,4.0,3.0,06:02:20,21740.28,True,f,
2010,Agustin PEREZ,AR,32,H,20-34M,,https://utmb.world/runner/3655213.agustinjavier.perez,666.0,5.0,5.0,4.0,06:21:38,22898.7,True,f,
2187,Alejandro MIRANDA,AR,32,H,20-34M,,https://utmb.world/runner/5027025.alejandro.miranda,641.0,6.0,6.0,5.0,06:25:19,23119.24,True,f,
2014,Ignacio DIEZ PEÑA,AR,31,H,20-34M,,https://utmb.world/runner/824168.ignacio.diezpena,659.0,7.0,7.0,6.0,06:26:15,23175.5,True,f,
2012,César Ramón ASTIGUETA,AR,49,H,45-49M,,https://utmb.world/runner/4287555.cesarramon.astigueta,654.0,8.0,8.0,1.0,06:33:31,23611.06,True,f,
2194,Tomas BERIANI FILIPPA,AR,33,H,20-34M,,https://utmb.world/runner/3129539.tomas.berianifilippa,626.0,9.0,9.0,7.0,06:34:57,23697.92,True,f,
2182,Martin Ariel CESPEDES,AR,32,H,20-34M,,https://utmb.world/runner/1784351.martinariel.cespedes,621.0,10.0,10.0,8.0,06:38:11,23891.68,True,f,
2626,Agustin ROSON,AR,35,H,20-34M,,https://utmb.world/runner/3615585.agustin.roson,607.0,11.0,11.0,9.0,06:49:27,24567.08,True,f,
2228,Gaston  RIOS,AR,35,H,20-34M,,https://utmb.world/runner/1784445.gaston.rios,601.0,12.0,12.0,10.0,06:50:53,24653.0,True,f,
2257,Matias CRAIA,AR,37,H,35-39M,,https://utmb.world/runner/1280421.matias.craia,632.0,13.0,13.0,2.0,06:53:24,24804.97,True,f,
2006,Milagros PARERA,AR,35,F,20-34W,,https://utmb.world/runner/3872395.milagros.parera,634.0,14.0,1.0,1.0,06:53:52,24832.6,True,f,
2011,Nicolas ALMIRON,AR,36,H,20-34M,,https://utmb.world/runner/3239255.nicolas.almiron,660.0,15.0,14.0,11.0,06:57:57,25077.33,True,f,
2278,Marcos Vinícius PARISOTTO,BR,38,H,35-39M,,https://utmb.world/runner/1143515.marcosvinicius.parisotto,591.0,16.0,15.0,3.0,06:58:23,25103.89,True,f,
2015,Mario VARGAS ZAMORA,CL,37,H,35-39M,,https://utmb.world/runner/2669835.mario.vargas,645.0,17.0,16.0,4.0,06:59:14,25154.51,True,f,
