# Race: Valholl By UTMB 2023 - ADVANCE 80K
# Distance: 81 km
# D+: 2800 m
# D-: 2800 m
# Date: 2023-05-12
# URL: https://live.utmb.world/valholl/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Cody LIND,US,30,H,20-34M,,https://utmb.world/runner/2667843.cody.lind,848.0,1.0,1.0,1.0,07:43:32,27812.33,True,f,
1003,Helen MINO FAUKNER,US,29,F,20-34W,,https://utmb.world/runner/2571507.helen.minofaukner,743.0,2.0,1.0,1.0,08:30:52,30652.3,True,f,
1007,Alex Xavier LOZANO ESPINOSA,EC,34,H,20-34M,,https://utmb.world/runner/4220199.alexxavier.lozanoespinosa,755.0,3.0,2.0,2.0,08:34:58,30898.34,True,f,
1002,Emily HAWGOOD,GB,31,F,20-34W,,https://utmb.world/runner/1878369.emily.hawgood,744.0,4.0,2.0,2.0,08:39:46,31186.58,True,f,
1006,Tj DAVID,US,39,H,35-39M,,https://utmb.world/runner/1777517.tj.david,767.0,5.0,3.0,1.0,08:46:15,31575.39,True,f,
1014,Miguel LOTTERO,AR,35,H,20-34M,,https://utmb.world/runner/1345147.miguel.lottero,725.0,6.0,4.0,3.0,08:58:34,32314.33,True,f,
1193,David MOLINA,AR,37,H,35-39M,,https://utmb.world/runner/4111625.david.molina,699.0,7.0,5.0,2.0,09:02:32,32552.29,True,f,
1004,Franco PAREDES REYES,AR,29,H,20-34M,,https://utmb.world/runner/880561.franco.paredes,799.0,8.0,6.0,4.0,09:08:10,32890.58,True,f,
1026,Edgar Emanuel CEBALLO,AR,31,H,20-34M,,https://utmb.world/runner/3872449.edgaremanuel.ceballo,681.0,9.0,7.0,5.0,09:17:01,33421.23,True,f,
1027,Esteban Daniel Alejandro ALBORNOZ,AR,39,H,35-39M,,https://utmb.world/runner/4584478.estebandanielalejandro.albornoz,670.0,10.0,8.0,3.0,09:26:16,33976.12,True,f,
1025,Carlos Daniel MORALES,AR,36,H,20-34M,,https://utmb.world/runner/4584474.carlosdaniel.morales,670.0,11.0,9.0,6.0,09:27:34,34054.48,True,f,
1016,Mirko CHACOMA,AR,25,H,20-34M,,https://utmb.world/runner/2245713.mirko.chacoma,708.0,12.0,10.0,7.0,09:29:50,34190.85,True,f,
1034,Francisco Nazareno ALE REUTER,AR,28,H,20-34M,,https://utmb.world/runner/4120437.francisconazareno.alereuter,663.0,13.0,11.0,8.0,09:31:56,34316.45,True,f,
1018,Esteban Alejandro MARÍN TORRES,CL,33,H,20-34M,,https://utmb.world/runner/2238007.esteban.marin,697.0,14.0,12.0,9.0,09:34:42,34482.32,True,f,
1169,Luis Alberto LOBOS MASSIFF,CL,34,H,20-34M,,https://utmb.world/runner/4935706.luisalberto.lobosmassiff,649.0,15.0,13.0,10.0,09:44:46,35086.01,True,f,
1012,Claudio NAHUELQUIN,AR,37,H,35-39M,,https://utmb.world/runner/1873237.claudio.nahuelquin,728.0,16.0,14.0,4.0,09:47:03,35223.29,True,f,
1156,Enrique Tomas IBANEZ,AR,48,H,45-49M,,https://utmb.world/runner/1094673.enriquetomas.ibanez,625.0,17.0,15.0,1.0,09:50:10,35410.0,True,f,
1009,Maximiliano LOPEZ,AR,41,H,35-39M,,https://utmb.world/runner/377455.maximiliano.lopez,753.0,18.0,16.0,5.0,10:06:21,36381.99,True,f,
1019,Nicolas HINOJOSA,AR,41,H,35-39M,,https://utmb.world/runner/1784863.nicolas.hinojosa,697.0,19.0,17.0,6.0,10:07:07,36427.95,True,f,
1022,Ignacio DOHEIJO,AR,35,H,20-34M,,https://utmb.world/runner/594734.ignacio.doheijo,672.0,20.0,18.0,11.0,10:07:08,36428.14,True,f,
1133,Luis Ignacio GARDEL,AR,41,H,35-39M,,https://utmb.world/runner/677119.luisignacio.gardel,630.0,21.0,19.0,7.0,10:07:41,36461.96,True,f,
1010,Zoe ROM,US,32,F,20-34W,,https://utmb.world/runner/2383613.zoe.rom,657.0,22.0,3.0,3.0,10:19:25,37165.11,True,f,
1123,Agustín FIGUEROA,AR,29,H,20-34M,,https://utmb.world/runner/4822468.agustin.figueroa,608.0,23.0,20.0,12.0,10:24:07,37447.08,True,f,
