# Race: Valholl by UTMB 2024 - EXPLORE 11K
# Distance: 11 km
# D+: 500 m
# D-: 500 m
# Date: 2024-05-11
# URL: https://live.utmb.world/valholl/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3312,Marcos Javier CONTTE,AR,33,H,20-34M,Team Lucho Pilatti,https://utmb.world/runner/5572427.marcosjavier.contte,,1.0,1.0,1.0,00:55:35,3335.388,True,f,
3212,Pedro AVANZA,AR,25,H,20-34M,20429034877,https://utmb.world/runner/5846047.pedro.avanza,,2.0,2.0,2.0,00:56:25,3385.582,True,f,
3001,Juan Manuel TERMINIELLO,AR,36,H,35-39M,Kuden group,https://utmb.world/runner/5649396.juanmanuel.terminiello,637.0,3.0,3.0,1.0,00:57:02,3422.153,True,f,
3184,Jose Daniel ESCOBAR,AR,34,H,20-34M,Kuden Group Tandil,https://utmb.world/runner/5846033.josedaniel.escobar,,4.0,4.0,3.0,00:57:58,3478.105,True,f,
3210,Cruz ARBACH,AR,19,H,18-19M,Liebres Team,https://utmb.world/runner/5846073.cruz.arbach,,5.0,5.0,1.0,00:58:58,3538.438,True,f,
3005,Maximiliano TOLEDO,AR,39,H,35-39M,,https://utmb.world/runner/5572065.maximiliano.toledo,538.0,6.0,6.0,2.0,00:59:34,3574.378,True,f,
3304,Nicolas SAENZ,AR,40,H,35-39M,DIEGO SIMON,https://utmb.world/runner/5932163.nicolas.saenz,,7.0,7.0,3.0,01:00:56,3656.044,True,f,
3007,Roque ARIAS,AR,44,H,40-44M,Rp running team,https://utmb.world/runner/4626900.roque.arias,506.0,8.0,8.0,1.0,01:01:55,3715.775,True,f,
3004,Maximiliano TESTA,AR,28,H,20-34M,Pauluzak Trail Running Team,https://utmb.world/runner/2549811.maximiliano.testa,542.0,9.0,9.0,4.0,01:04:00,3840.463,True,f,
3171,Joaquin Luca PASCALE,AR,18,H,0-17M,Estatus Run,https://utmb.world/runner/5845975.joaquinluca.pascale,,10.0,10.0,1.0,01:05:45,3945.286,True,f,
3123,Fermin HERNANDEZ,AR,12,H,0-17M,Outdoor Pesari,https://utmb.world/runner/5088899.fermin.hernandez,,11.0,11.0,2.0,01:06:11,3971.627,True,f,
3002,Ariel HERNANDEZ,AR,48,H,45-49M,Outdoor pesari,https://utmb.world/runner/4111522.ariel.hernandez,574.0,12.0,12.0,1.0,01:06:14,3974.598,True,f,
3232,Manuel Alejandro FIGUEROA TECHERA,AR,40,H,35-39M,,https://utmb.world/runner/4882581.manuelalejandro.figueroatechera,,13.0,13.0,4.0,01:06:32,3992.147,True,f,
3214,Diego Juan TESORIERO,AR,26,H,20-34M,Pauluzak,https://utmb.world/runner/5897299.diegojuan.tesoriero,,14.0,14.0,5.0,01:06:35,3995.477,True,f,
3065,Tomas CASTELLANO,AR,22,H,20-34M,Los leones de ambato,https://utmb.world/runner/6048473.tomas.castellano,,15.0,15.0,6.0,01:07:48,4068.622,True,f,
3397,Lucio Agustin MAIERÚ,AR,24,H,20-34M,Integraltrainer,https://utmb.world/runner/5934652.maieru.lucioagustin,,16.0,16.0,7.0,01:08:23,4103.153,True,f,
