# Race: VALHOLL by UTMB 2025 - COURAGE 32K
# Distance: 32.8 km
# D+: 1595 m
# D-: 1595 m
# Date: 2025-03-20
# URL: https://live.utmb.world/valholl/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3415,Marcelo DEL COLLADO,AR,32,H,20-34M,Kuden Group Tandil,https://utmb.world/runner/1954989.marcelo.delcollado,757.0,1.0,1.0,1.0,03:16:53,11813.13,True,f,
3004,Braian MONTES VIEIRA,AR,29,H,20-34M,,https://utmb.world/runner/1675651.braian.montesvieira,710.0,2.0,2.0,2.0,03:19:18,11958.991,True,f,
3001,Gustavo BUITRAGO ARÉVALO,CO,29,H,20-34M,Merrell Colombia,https://utmb.world/runner/2615783.gustavo.buitragoarevalo,773.0,3.0,3.0,3.0,03:21:18,12078.629,True,f,
3013,Emiliano FERRERI,AR,36,H,35-39M,Vakhan team,https://utmb.world/runner/4624906.emiliano.ferreri,620.0,4.0,4.0,1.0,03:37:30,13050.931,True,f,
3009,Sergio GONZALEZ,CL,31,H,20-34M,979871385,https://utmb.world/runner/4965170.sergio.gonzalezcatalan,655.0,6.0,6.0,5.0,03:40:33,13233.931,True,f,
3556,Francisco RAMÍREZ,AR,47,H,45-49M,,https://utmb.world/runner/6670407.francisco.ramirez,,7.0,7.0,1.0,03:44:38,13478.189,True,f,
3010,Alexis MAGGI,AR,43,H,40-44M,Diego Simon,https://utmb.world/runner/5009067.alexis.maggi,638.0,8.0,8.0,1.0,03:48:47,13727.49,True,f,
3023,Juan LAPORTE,UY,40,H,40-44M,Cuesta Arriba,https://utmb.world/runner/5531430.juan.laporte,567.0,9.0,9.0,2.0,03:51:48,13908.728,True,f,
3011,Carlos Javier DÍAZ MANCILLA,CL,32,H,20-34M,Club de Montaña D' Agostini,https://utmb.world/runner/5579688.carlosjavier.diazmancilla,630.0,10.0,10.0,6.0,03:52:34,13954.488,True,f,
3555,Ariel RAMIREZ,AR,38,H,35-39M,Dd running team,https://utmb.world/runner/4398350.ariel.ramirez,619.0,11.0,11.0,2.0,03:53:58,14038.529,True,f,
3055,Bautista ZEITLER,AR,25,H,20-34M,Club Andino Ushuaia,https://utmb.world/runner/6883234.bautista.zeitler,499.0,12.0,12.0,7.0,03:54:28,14068.53,True,f,
3005,Diego Martín CISNEROS,AR,43,H,40-44M,León Serrano,https://utmb.world/runner/4504406.diegomartin.cisneros,676.0,13.0,13.0,3.0,03:56:33,14193.991,True,f,
3007,Ruan EDUARDO INACIO DE CARVALHO,BR,36,H,35-39M,RC Assessoria Esportiva,https://utmb.world/runner/6451479.ruan.eduardoinaciodecarvalho,662.0,15.0,14.0,3.0,03:59:42,14382.63,True,f,
3532,Fredy Orlando PACHECO,AR,36,H,35-39M,RA Team,https://utmb.world/runner/6495805.fredyorlando.pacheco,,16.0,15.0,4.0,04:00:15,14415.33,True,f,
3524,Mario OMINE,AR,40,H,40-44M,Presti running,https://utmb.world/runner/4624896.mario.omine,,17.0,16.0,4.0,04:02:46,14566.89,True,f,
