# Race: VALHOLL by UTMB 2025 - POWER 22K
# Distance: 23.8 km
# D+: 929 m
# D-: 929 m
# Date: 2025-03-20
# URL: https://live.utmb.world/valholl/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4522,Diego Ramon SIMON,AR,38,H,35-39M,Adidas Argentina,https://utmb.world/runner/892921.diegoramon.simon,807.0,1.0,1.0,1.0,02:12:40,7960.331,True,f,
4003,Victor PEREZ,CL,37,H,35-39M,Newen trail,https://utmb.world/runner/3790281.victor.perez,675.0,2.0,2.0,2.0,02:13:37,8017.33,True,f,
4002,Amelie LANE,GB,19,F,18-19W,,https://utmb.world/runner/5883801.amelie.lane,593.0,3.0,1.0,1.0,02:17:08,8228.233,True,f,
4263,Ezequiel DAWSON SCHAPOCHNIK,AR,20,H,20-34M,Naturaleza Activa,https://utmb.world/runner/6926343.ezequiel.dawsonschapochnik,,4.0,3.0,1.0,02:22:33,8553.13,True,f,
4005,Agustin Mario SERRA,AR,37,H,35-39M,,https://utmb.world/runner/3098207.agustin.serra,595.0,5.0,4.0,3.0,02:23:01,8581.749,True,f,
4018,Andres GOMEZ,AR,45,H,45-49M,Purple run band,https://utmb.world/runner/4358802.andres.gomez,526.0,6.0,5.0,1.0,02:23:20,8600.592,True,f,
4017,Nelson SUAREZ,EC,31,H,20-34M,,https://utmb.world/runner/5835265.nelson.suarez,527.0,7.0,6.0,2.0,02:23:39,8619.189,True,f,
4001,Paula NAZAL LABRIN,CL,31,F,20-34W,Escuelita de trail - Angol Runner,https://utmb.world/runner/4756150.paula.nazallabrin,604.0,8.0,2.0,1.0,02:25:03,8703.19,True,f,
4326,Sergio LOPEZ,AR,41,H,40-44M,Individual,https://utmb.world/runner/6482331.sergio.lopez,,9.0,7.0,1.0,02:25:40,8740.329,True,f,
4270,Fernan FEDERICI,AR,45,H,45-49M,Osky Tello,https://utmb.world/runner/5572251.fernan.federici,,10.0,8.0,2.0,02:27:12,8832.071,True,f,
4024,Lucas LEFEBVRE,FR,32,H,20-34M,,https://utmb.world/runner/5035524.lucas.lefebvre,510.0,11.0,9.0,3.0,02:30:34,9034.331,True,f,
4210,Diego Sebastian BARRAZA,AR,37,H,35-39M,,https://utmb.world/runner/6868115.diegosebastian.barraza,,12.0,10.0,4.0,02:30:55,9055.028,True,f,
4194,Walter ALVARADO,AR,30,H,20-34M,Kratos Running Team,https://utmb.world/runner/6465737.walter.alvarado,,13.0,11.0,4.0,02:33:13,9193.15,True,f,
4365,Gonzalo OCHOA,AR,48,H,45-49M,,https://utmb.world/runner/392288.gonzalo.ochoa,,14.0,12.0,3.0,02:34:00,9240.291,True,f,
4031,Bautista PERALTA BLANCO,AR,19,H,18-19M,Marcos Espinosa Entrenamientos,https://utmb.world/runner/4123562.bautista.peraltablanco,487.0,15.0,13.0,1.0,02:35:46,9346.33,True,f,
4016,Andres Ezequiel ORTEGA,AR,29,H,20-34M,La Cima Trail,https://utmb.world/runner/6048337.andresezequiel.ortega,531.0,16.0,14.0,5.0,02:39:13,9553.329,True,f,
4045,Julian Agustin HERNANDEZ,AR,33,H,20-34M,purple run band,https://utmb.world/runner/5757514.julianagustin.hernandez,546.0,17.0,15.0,6.0,02:40:12,9612.13,True,f,
4021,Mauricio RITTINER,AR,44,H,40-44M,PAULUZAK TRAIL RUNNING TEAM,https://utmb.world/runner/4625498.mauricio.rittiner,524.0,18.0,16.0,2.0,02:41:23,9683.53,True,f,
4257,Fernando CRISTALDO,AR,40,H,40-44M,Hacia los caminos,https://utmb.world/runner/6694027.fernando.cristaldo,,19.0,17.0,3.0,02:41:49,9709.93,True,f,
4405,Sergio ROLDAN,AR,47,H,45-49M,Los lebreles,https://utmb.world/runner/6974853.sergio.roldan,,20.0,18.0,4.0,02:42:04,9724.99,True,f,
4006,Daltro KRUGER,BR,46,H,45-49M,,https://utmb.world/runner/4254846.daltro.kruger,592.0,21.0,19.0,5.0,02:44:52,9892.33,True,f,
4411,Elias German RUIZ,AR,30,H,20-34M,,https://utmb.world/runner/2480233.eliasgerman.ruiz,,22.0,20.0,7.0,02:45:29,9929.589,True,f,
4009,Jonatan DITTIERI,AR,42,H,40-44M,Pauluzak Trail Running Team,https://utmb.world/runner/2297151.jonatan.dittieri,567.0,23.0,21.0,4.0,02:46:06,9966.19,True,f,
4515,Mauricio PAGLIACCI ,AR,34,H,20-34M,,https://utmb.world/runner/232387.mauricio.pagliacci,506.0,24.0,22.0,8.0,02:46:17,9977.028,True,f,
4206,Cristian Gabriel BALCAZA,AR,29,H,20-34M,BRT,https://utmb.world/runner/6619129.cristiangabriel.balcaza,,25.0,23.0,9.0,02:46:21,9981.132,True,f,
4007,Ramiro ISOTTON,BR,46,H,45-49M,Carlos Venturini Team,https://utmb.world/runner/1658991.ramiro.isotton,583.0,26.0,24.0,6.0,02:46:58,10018.628,True,f,
4025,Fabián Benito BOBADILLA GODOY,AR,46,H,45-49M,,https://utmb.world/runner/6298752.fabianbenito.bobadillagodoy,506.0,27.0,25.0,7.0,02:47:16,10036.029,True,f,
4465,Daniel HERGET,AU,26,H,20-34M,,https://utmb.world/runner/7011523.daniel.herget,,28.0,26.0,10.0,02:47:18,10038.829,True,f,
4023,Brandon BELLANGER,FR,29,H,20-34M,Aucun,https://utmb.world/runner/5044954.brandon.bellanger,510.0,29.0,27.0,11.0,02:47:20,10040.529,True,f,
4022,Lucas CRESPIN,AR,37,H,35-39M,Pg Team,https://utmb.world/runner/4789430.lucas.crespin,520.0,30.0,28.0,5.0,02:48:03,10083.031,True,f,
4040,Sebastian Daniel SIMOIS,AR,38,H,35-39M,PURPLE RUN BAND,https://utmb.world/runner/5757504.sebastiandaniel.simois,556.0,31.0,29.0,6.0,02:48:14,10094.77,True,f,
4458,Tomas Horacio ZENTNER LAVORI,AR,33,H,20-34M,Naturaleza Activa,https://utmb.world/runner/6782053.tomashoracio.zentnerlavori,548.0,32.0,30.0,12.0,02:52:33,10353.429,True,f,
4013,Beatriz PINTOS,AR,44,F,40-44W,Ritmo controlado,https://utmb.world/runner/5656698.beatriz.pintos,486.0,33.0,3.0,1.0,02:53:30,10410.43,True,f,
4525,Enrique ZAPAG,PY,30,H,20-34M,,https://utmb.world/runner/6757143.enrique.zapag,,34.0,31.0,13.0,02:53:44,10424.89,True,f,
4032,Crhistopher FLORES,EC,27,H,20-34M,PLAN Fitness Club,https://utmb.world/runner/5576764.crhistopher.flores,512.0,35.0,32.0,14.0,02:54:05,10445.11,True,f,
4384,Luz Marina PEREZ RIVERO,AR,26,F,20-34W,ORIGINARIOS,https://utmb.world/runner/6660347.luzmarina.perezrivero,,36.0,4.0,2.0,02:55:16,10516.031,True,f,
4034,Gabriel CORONEL,AR,25,H,20-34M,Al+trail,https://utmb.world/runner/4344440.gabriel.coronel,479.0,37.0,33.0,15.0,02:56:50,10610.591,True,f,
4382,Agustín PEREYRA,AR,20,H,20-34M,La costa ruin,https://utmb.world/runner/5657144.agustin.pereyra,552.0,38.0,34.0,16.0,02:57:27,10647.43,True,f,
4408,Juan ROSERO,EC,34,H,20-34M,Triburones,https://utmb.world/runner/6465705.juan.rosero,,39.0,35.0,17.0,02:57:31,10651.029,True,f,
4010,Maria Luiza CASAL DE REY,BR,35,F,35-39W,Citius Assessoria Esportiva,https://utmb.world/runner/4457524.marialuiza.casalderey,496.0,40.0,5.0,1.0,02:58:22,10702.33,True,f,
4060,Alberto Cesar Mateo RODRÍGUEZ,AR,43,H,40-44M,Originarios Trail Running,https://utmb.world/runner/6512979.albertocesarmateo.rodriguez,425.0,41.0,36.0,5.0,02:58:38,10718.651,True,f,
4414,Emanuel SAMANIEGO,AR,29,H,20-34M,originarios,https://utmb.world/runner/6681945.emanuel.samaniego,,42.0,37.0,18.0,03:01:37,10897.63,True,f,
4004,Maria Fernanda CASTRO,AR,48,F,45-49W,CECI IRIGOYEN RUNNING & FIT,https://utmb.world/runner/2985863.mariafernanda.castro,556.0,43.0,6.0,1.0,03:01:45,10905.431,True,f,
4325,Matias LOINAZ,AR,42,H,40-44M,,https://utmb.world/runner/6950061.matias.loinaz,,44.0,38.0,6.0,03:02:22,10942.029,True,f,
4224,Lucas Agustin BRAGADO,AR,40,H,40-44M,,https://utmb.world/runner/6925959.lucasagustin.bragado,,45.0,39.0,7.0,03:04:44,11084.89,True,f,
4075,Federico NUNES,AR,34,H,20-34M,Cross,https://utmb.world/runner/6883396.federico.nunes,405.0,46.0,40.0,19.0,03:05:31,11131.229,True,f,
4346,Rolando MATUS,CL,29,H,20-34M,Individual,https://utmb.world/runner/6821631.rolando.matus,,47.0,41.0,20.0,03:06:21,11181.07,True,f,
4526,Eduardo  MARENCO,AR,44,H,40-44M,Urban Training ,https://utmb.world/runner/6994853.eduardo.marenco,,48.0,42.0,8.0,03:06:24,11184.488,True,f,
4322,Martin LATORRE,AR,43,H,40-44M,Purple Run Band,https://utmb.world/runner/5878175.martin.latorre,468.0,49.0,43.0,9.0,03:06:51,11211.63,True,f,
4019,Jonathan PHILIPPE DABIEN DA SILVA,BR,35,H,35-39M,Phil Recovery,https://utmb.world/runner/4915257.jonathan.philippedabiendasilva,526.0,50.0,44.0,7.0,03:07:36,11256.489,True,f,
4011,María Guadalupe GUIDI,AR,42,F,40-44W,,https://utmb.world/runner/5657328.mariaguadalupe.guidi,496.0,51.0,7.0,2.0,03:08:27,11307.429,True,f,
4037,Alejandro Jose Maria PARSON,AR,55,H,55-59M,,https://utmb.world/runner/5651358.alejandrojosemaria.parson,475.0,52.0,45.0,1.0,03:10:32,11432.59,True,f,
4286,Alejandro FRONTE,AR,43,H,40-44M,Pauluzak,https://utmb.world/runner/6979223.alejandro.fronte,,53.0,46.0,10.0,03:11:22,11482.028,True,f,
4477,Jose GOROSITO,AR,35,H,35-39M,Kotaix box,https://utmb.world/runner/7006401.jose.gorosito,,54.0,47.0,8.0,03:11:48,11508.128,True,f,
