# Race: Ultra Trail Whistler by UTMB 2025 - 25k
# Distance: 25 km
# D+: 1674 m
# D-: 1674 m
# Date: 2025-09-28
# URL: https://live.utmb.world/whistler/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2002,Idris DUTERTRE,CA,33,H,20-34M,,https://utmb.world/runner/6803676.idris.dutertre,605.0,1.0,1.0,1.0,02:36:37,9397,True,f,
2217,Zander GEDDES,CA,30,H,20-34M,,https://utmb.world/runner/4278571.zander.geddes,,3.0,3.0,2.0,02:45:00,9900,True,f,
2309,Jake MULDER,CA,25,H,20-34M,,https://utmb.world/runner/7755269.jake.mulder,,4.0,4.0,3.0,02:50:00,10200,True,f,
2248,Sebastien ARMAND,AU,32,H,20-34M,,https://utmb.world/runner/7450635.sebastien.armand,,5.0,5.0,4.0,02:50:52,10252,True,f,
2113,Cameron COOK,CA,41,H,40-44M,,https://utmb.world/runner/5461220.cameron.cook,,7.0,7.0,1.0,03:00:13,10813,True,f,
2003,Jonathan FORGET,CA,44,H,40-44M,,https://utmb.world/runner/4255387.jonathan.forget,591.0,9.0,8.0,2.0,03:06:28,11188,True,f,
2230,Masato IGARASHI,CA,32,H,20-34M,,https://utmb.world/runner/4622140.masato.igarashi,,10.0,9.0,6.0,03:07:18,11238,True,f,
2328,Steve VAN KNOTSENBURG,CA,43,H,40-44M,,https://utmb.world/runner/7768473.steve.vanknotsenburg,,13.0,12.0,3.0,03:08:08,11288,True,f,
2336,Jesse WINTER,CA,38,H,35-39M,,https://utmb.world/runner/7661041.jesse.winter,,15.0,14.0,2.0,03:14:04,11644,True,f,
2007,Julien GUERMYET,FR,34,H,20-34M,,https://utmb.world/runner/5957630.julien.guermyet,539.0,16.0,15.0,9.0,03:15:06,11706,True,f,
2331,Jeanelle HAZLETT,CA,36,F,35-39W,,https://utmb.world/runner/711498.jeanelle.hazlett,642.0,18.0,2.0,1.0,03:18:57,11937,True,f,
2338,Dania BELISLE,CA,33,F,20-34W,,https://utmb.world/runner/4207149.dania.belisle,613.0,19.0,3.0,2.0,03:19:53,11993,True,f,
2287,Martin BUKOVINSKÝ,SK,50,H,50-54M,,https://utmb.world/runner/1059983.martin.bukovinsky,529.0,22.0,18.0,2.0,03:23:01,12181,True,f,
2118,Brendan O’BOYLE,GB,35,H,35-39M,,https://utmb.world/runner/7507899.brendan.o---boyle,,23.0,19.0,3.0,03:24:22,12262,True,f,
2161,Matthew KULAS,CA,35,H,35-39M,,https://utmb.world/runner/7008655.matthew.kulas,,24.0,20.0,4.0,03:25:03,12303,True,f,
2085,Antoine DELORME,CA,36,H,35-39M,,https://utmb.world/runner/7008799.antoine.delorme,,25.0,21.0,5.0,03:25:11,12311,True,f,
2297,Aleix SALANOVA GINE,CA,32,H,20-34M,,https://utmb.world/runner/4717456.aleix.salanovagine,490.0,26.0,22.0,11.0,03:26:03,12363,True,f,
2286,Nick PENNER,CA,31,H,20-34M,,https://utmb.world/runner/3313021.nick.penner,,28.0,24.0,12.0,03:26:46,12406,True,f,
2255,Jyah FLAM,CA,31,H,20-34M,,https://utmb.world/runner/7619869.jyah.flam,,29.0,25.0,13.0,03:26:50,12410,True,f,
2001,Mihailo RADOMAN,CA,45,H,45-49M,,https://utmb.world/runner/5459508.mihailo.radoman,649.0,30.0,26.0,1.0,03:27:03,12423,True,f,
2073,Liz KEENA,US,32,F,20-34W,,https://utmb.world/runner/7008791.liz.keena,,33.0,6.0,5.0,03:29:07,12547,True,f,
2006,Yusuke KUMAGAI,JP,33,H,20-34M,,https://utmb.world/runner/4841352.yusuke.kumagai,554.0,34.0,28.0,14.0,03:29:27,12567,True,f,
2293,Catrin JONES,CA,46,F,45-49W,,https://utmb.world/runner/248587.catrin.jones,621.0,35.0,7.0,1.0,03:31:05,12665,True,f,
2169,Israel ALDUNCIN,CA,41,H,40-44M,,https://utmb.world/runner/7053559.israel.alduncin,,36.0,29.0,5.0,03:31:38,12698,True,f,
