# Race: wildstrubel by utmb 2023 - Wild 70k
# Distance: 70 km
# D+: 4600 m
# D-: 4600 m
# Date: 2023-09-16
# URL: https://live.utmb.world/wildstrubel/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Aurelien DUNAND-PALLAZ,FR,33,H,20-34M,Team Compressport,https://utmb.world/runner/11045.aurelien.dunandpallaz,896.0,1.0,1.0,1.0,07:36:03,27363.97,True,f,
1035,Ramon MANETSCH,CH,38,H,35-39M,Salomon Switzerland / STB,https://utmb.world/runner/1503847.ramon.manetsch,873.0,2.0,2.0,1.0,07:37:38,27458.21,True,f,
1686,Jean Baptiste CURTET,FR,37,H,35-39M,,https://utmb.world/runner/2255767.jeanbaptiste.curtet,811.0,3.0,3.0,2.0,07:51:04,28264.6,True,f,
1007,Dimitri MOREL-JEAN,FR,27,H,20-34M,"Lons Athlé 39, Jura Break Immo",https://utmb.world/runner/3088021.dimitri.moreljean,808.0,4.0,4.0,2.0,08:11:55,29515.69,True,f,
1012,Alexis COME,FR,27,H,20-34M,Athletic Vosges Entente Clubs,https://utmb.world/runner/3917645.alexis.come,788.0,5.0,5.0,3.0,08:14:01,29641.92,True,f,
1005,Matis LERAY,FR,26,H,20-34M,Sidas,https://utmb.world/runner/3096053.matis.leray,814.0,6.0,6.0,4.0,08:14:44,29684.12,True,f,
1009,Nicolas CERISIER,FR,42,H,40-44M,AUTOURDUTRAIL / RAIDLIGHT,https://utmb.world/runner/1410357.nicolas.cerisier,793.0,7.0,7.0,1.0,08:22:49,30169.54,True,f,
1003,Anne-Lise ROUSSET SEGURET,FR,37,F,35-39W,SCOTT,https://utmb.world/runner/241481.annelise.roussetseguret,755.0,8.0,1.0,1.0,08:32:30,30750.53,True,f,
1091,Manuel HARTWEG,DE,36,H,20-34M,DJK TTC Rülzheim,https://utmb.world/runner/4919023.manuel.hartweg,736.0,9.0,8.0,5.0,08:36:59,31019.5,True,f,
1004,Nico DALCOLMO,CH,29,H,20-34M,Scott Running,https://utmb.world/runner/487473.nico.dalcolmo,808.0,10.0,9.0,6.0,08:37:39,31059.98,True,f,
1014,Sigurjon STURLUSON,IS,35,H,20-34M,Ultraform,https://utmb.world/runner/348906.sigurjon.sturluson,776.0,11.0,10.0,7.0,08:48:02,31682.4,True,f,
1020,Arne DETAVERNIER,BE,37,H,35-39M,,https://utmb.world/runner/1719237.arne.detavernier,748.0,12.0,11.0,3.0,08:51:31,31891.38,True,f,
1051,Bruno SCHAUB,CH,40,H,35-39M,Trail-Maniacs,https://utmb.world/runner/342994.bruno.schaub,714.0,13.0,12.0,4.0,08:53:16,31996.36,True,f,
1707,Ramon KREBS,CH,42,H,40-44M,Free Mountain Racing Team,https://utmb.world/runner/722086.ramon.krebs,776.0,14.0,13.0,2.0,09:04:59,32699.77,True,f,
1023,Nicolas SMEYERS,BE,31,H,20-34M,MATT,https://utmb.world/runner/4127180.nicolas.smeyers,743.0,15.0,14.0,8.0,09:06:10,32770.16,True,f,
1025,Frédéric JUNG,FR,49,H,45-49M,OCT 55,https://utmb.world/runner/11048.frederic.jung,741.0,16.0,15.0,1.0,09:16:42,33402.87,True,f,
1078,Kieren DSOUZA,IN,32,H,20-34M,,https://utmb.world/runner/694339.kieren.dsouza,684.0,17.0,16.0,9.0,09:16:44,33404.41,True,f,
1106,Clement JAMBOU,FR,34,H,20-34M,CS Megeve,https://utmb.world/runner/642432.clement.jambou,683.0,18.0,17.0,10.0,09:17:01,33421.93,True,f,
1017,Aurélien CHARITÉ,FR,45,H,40-44M,Team Intersport Besançon,https://utmb.world/runner/480415.aurelien.charite,769.0,19.0,18.0,3.0,09:17:37,33457.67,True,f,
1010,Nuno FERNANDES,PT,43,H,40-44M,Clube Atletismo Fafe,https://utmb.world/runner/764525.nuno.fernandes,787.0,20.0,19.0,4.0,09:19:45,33585.9,True,f,
1013,Dioni GORLA,DE,28,F,20-34W,adidas TERREX,https://utmb.world/runner/3337065.dioni.gorla,689.0,21.0,2.0,1.0,09:20:14,33614.4,True,f,
1055,Evan MARTIN,FR,25,H,20-34M,,https://utmb.world/runner/4497954.evan.martin,690.0,22.0,20.0,11.0,09:25:23,33923.63,True,f,
1032,Andreas RICHNER,CH,46,H,40-44M,,https://utmb.world/runner/4183027.andreas.richner,706.0,23.0,21.0,5.0,09:26:10,33970.36,True,f,
1720,Nicolas GRY,FR,47,H,45-49M,Unnormal trail ASSA,https://utmb.world/runner/306004.nicolas.gry,706.0,24.0,22.0,2.0,09:27:29,34049.99,True,f,
1018,Quentin ARNOULD,FR,28,H,20-34M,,https://utmb.world/runner/2187125.quentin.arnould,762.0,25.0,23.0,12.0,09:28:39,34119.83,True,f,
1016,Halldóra Huld INGVARSDÓTTIR,IS,37,F,35-39W,Fjallahlaupaþjálfun,https://utmb.world/runner/4187577.halldora.ingvarsdottir,685.0,26.0,3.0,2.0,09:31:10,34270.68,True,f,
1027,Andrea VLASAKOVA,CZ,37,F,35-39W,Trail-maniacs,https://utmb.world/runner/1478627.andrea.vlasakova,662.0,27.0,4.0,3.0,09:35:23,34523.78,True,f,
1059,Alexander VAN SCHIE,CH,30,H,20-34M,,https://utmb.world/runner/2201013.alexander.vanschie,681.0,28.0,24.0,13.0,09:35:38,34538.28,True,f,
1080,Yohan BUGNION,CH,34,H,20-34M,,https://utmb.world/runner/4957859.yohan.bugnion,668.0,29.0,25.0,14.0,09:36:54,34614.24,True,f,
1060,Roman KRALYA,CH,41,H,35-39M,NCS TraiLéman,https://utmb.world/runner/5140561.roman.kralya,680.0,30.0,26.0,5.0,09:36:58,34618.24,True,f,
1085,Raúl GARCÍA ROJANO,ES,46,H,40-44M,Marmmota,https://utmb.world/runner/130623.raul.garciarojano,669.0,31.0,27.0,6.0,09:37:02,34622.52,True,f,
1086,Leon KRIESMAIR,DE,24,H,20-34M,,https://utmb.world/runner/4226464.leon.kriesmair,664.0,32.0,28.0,15.0,09:39:29,34769.25,True,f,
1030,Laurent ECKENFELDER,FR,45,H,40-44M,,https://utmb.world/runner/2975927.laurent.eckenfelder,713.0,33.0,29.0,7.0,09:41:17,34877.23,True,f,
1033,Markus BIGLER,CH,46,H,40-44M,gantrischbike.ch,https://utmb.world/runner/118136.markus.bigler,704.0,34.0,30.0,8.0,09:42:25,34945.18,True,f,
1721,Stanislas EBRARD,FR,40,H,35-39M,,https://utmb.world/runner/3222609.stanislas.ebrard,654.0,35.0,31.0,6.0,09:42:26,34946.73,True,f,
1677,Tim VROMAN,BE,33,H,20-34M,,https://utmb.world/runner/3264757.tim.vroman,651.0,36.0,32.0,16.0,09:43:24,35004.75,True,f,
1705,Xavier MONIN,CH,32,H,20-34M,GSTabeillon,https://utmb.world/runner/1502291.xavier.monin,710.0,37.0,33.0,17.0,09:44:05,35045.48,True,f,
1026,Simone SCHWARZ,DE,44,F,40-44W,Salomon Running / PCA CCA Rouffach,https://utmb.world/runner/773624.simone.schwarz,654.0,38.0,5.0,1.0,09:45:32,35132.7,True,f,
1700,Corine KAGERER,CH,51,F,45-49W,,https://utmb.world/runner/65628.corine.kagerer,664.0,39.0,6.0,1.0,09:54:17,35657.89,True,f,
1054,Cedric VAN DEN BOSCH,BE,31,H,20-34M,MATT,https://utmb.world/runner/4127181.cedric.vandenbosch,691.0,40.0,34.0,18.0,09:56:15,35775.63,True,f,
1015,Jasper SODERMANS,BE,31,H,20-34M,ZF,https://utmb.world/runner/4308212.jasper.sodermans,774.0,41.0,35.0,19.0,09:57:27,35847.43,True,f,
1213,Grant FLAGLER,CA,32,H,20-34M,,https://utmb.world/runner/4938509.grant.flagler,637.0,42.0,36.0,20.0,09:57:44,35864.48,True,f,
1034,Christian ZIMMER,DE,45,H,40-44M,Scott Running Team Germany,https://utmb.world/runner/18968.christian.zimmer,700.0,43.0,37.0,9.0,09:59:49,35989.34,True,f,
1052,Florian DAVID,FR,35,H,20-34M,DMA,https://utmb.world/runner/4001549.florian.david,693.0,44.0,38.0,21.0,10:01:38,36098.33,True,f,
1072,Eliott BAUD,FR,27,H,20-34M,,https://utmb.world/runner/4286969.eliott.baud,672.0,45.0,39.0,22.0,10:06:01,36361.31,True,f,
1079,Jan Pascal KAMMERMANN,CH,30,H,20-34M,,https://utmb.world/runner/4608276.janpascal.kammermann,668.0,46.0,40.0,23.0,10:07:14,36434.76,True,f,
1142,Guillaume BERARD,FR,43,H,40-44M,SECAUDIT,https://utmb.world/runner/1512765.guillaume.berard,628.0,47.0,41.0,10.0,10:07:20,36440.53,True,f,
1114,Adrian TEUSCHER,CH,54,H,50-54M,Lauftreff Spiez,https://utmb.world/runner/654387.adrian.teuscher,640.0,48.0,42.0,1.0,10:10:13,36613.57,True,f,
1198,Toni SCHELBERT,CH,42,H,40-44M,Gipfelstürmer,https://utmb.world/runner/5447181.toni.schelbert,621.0,49.0,43.0,11.0,10:12:59,36779.74,True,f,
1082,Jonathan THIRE,FR,39,H,35-39M,TuB,https://utmb.world/runner/488635.jonathan.thire,665.0,50.0,44.0,7.0,10:14:22,36862.72,True,f,
1077,Pierre BERCHTOLD,CH,40,H,35-39M,Soda Racing Team,https://utmb.world/runner/3953727.pierre.berchtold,666.0,51.0,45.0,8.0,10:14:59,36899.22,True,f,
1148,Fabrice DARVEY,FR,42,H,40-44M,SAM Paris 12,https://utmb.world/runner/655764.fabrice.darvey,628.0,52.0,46.0,12.0,10:17:05,37025.46,True,f,
1144,Alexandre DUPOUHET,FR,40,H,35-39M,ARC,https://utmb.world/runner/4490030.alexandre.dupouhet,624.0,53.0,47.0,9.0,10:17:19,37039.22,True,f,
1092,Anthony BOUILLOD,FR,34,H,20-34M,Running Conseil 39,https://utmb.world/runner/3070533.anthony.bouillod,658.0,54.0,48.0,24.0,10:17:59,37079.7,True,f,
1120,Roy VAN SON,NL,50,H,45-49M,,https://utmb.world/runner/2086445.roy.vanson,634.0,55.0,49.0,3.0,10:19:01,37141.45,True,f,
1115,Xavier BURDEYRON,FR,36,H,20-34M,LCAC,https://utmb.world/runner/650251.xavier.burdeyron,641.0,56.0,50.0,25.0,10:20:39,37239.68,True,f,
1063,Janicke LANGENSTEIN,SE,40,F,35-39W,,https://utmb.world/runner/3482681.janicke.langenstein,613.0,56.0,7.0,4.0,10:20:39,37239.68,True,f,
1698,Paul IRATZOQUY,FR,30,H,20-34M,Esclops d'Azun,https://utmb.world/runner/370075.paul.iratzoquy,815.0,58.0,51.0,26.0,10:21:40,37300.93,True,f,
1164,Gerhard GERMANN,CH,50,H,45-49M,Skiweltcup Adelboden,https://utmb.world/runner/100507.gerhard.germann,614.0,59.0,52.0,4.0,10:21:51,37311.64,True,f,
1062,Sebastian PROHASKA,DE,35,H,20-34M,Two Peaks Endurance,https://utmb.world/runner/4046629.sebastian.prohaska,676.0,60.0,53.0,27.0,10:23:12,37392.66,True,f,
1053,Alexis BILAK,FR,37,H,35-39M,,https://utmb.world/runner/2688731.alexis.bilak,692.0,61.0,54.0,10.0,10:25:13,37513.14,True,f,
1691,Thomas DEREME,BE,28,H,20-34M,TRAKKS,https://utmb.world/runner/4046492.thomas.dereme,646.0,62.0,55.0,28.0,10:28:43,37723.4,True,f,
1021,Johanna EHRENKLAU,DE,33,F,20-34W,,https://utmb.world/runner/4219325.johanna.ehrenklau,654.0,63.0,8.0,2.0,10:28:45,37725.36,True,f,
1031,Hendrik BOURY,DE,35,H,20-34M,,https://utmb.world/runner/4123039.hendrik.boury,710.0,64.0,56.0,29.0,10:28:59,37739.86,True,f,
1716,Paulo César FERNANDES DIAS,PT,40,H,35-39M,,https://utmb.world/runner/295478.paulocesar.fernandesdias,713.0,65.0,57.0,11.0,10:32:17,37937.84,True,f,
1629,Philipp BUCHLI,CH,44,H,40-44M,,https://utmb.world/runner/80716.philipp.buchli,600.0,66.0,58.0,13.0,10:33:43,38023.82,True,f,
1058,Florent GUETROT,FR,42,H,40-44M,,https://utmb.world/runner/11165.florent.guetrot,685.0,67.0,59.0,14.0,10:35:22,38122.81,True,f,
1131,Emilien BADET GUIMERA,FR,31,H,20-34M,N&Co,https://utmb.world/runner/1794629.emilien.badetguimera,627.0,68.0,60.0,30.0,10:36:52,38212.53,True,f,
1098,Victor BASTIAANSEN,NL,44,H,40-44M,Start '78,https://utmb.world/runner/4392378.victor.bastiaansen,653.0,69.0,61.0,15.0,10:38:16,38296.41,True,f,
1022,Diana BALLET,FR,37,F,35-39W,Team MAC SPORT,https://utmb.world/runner/3095449.diana.ballet,653.0,70.0,9.0,5.0,10:39:22,38362.53,True,f,
1071,Elodie TERCIER,CH,44,F,40-44W,Running Planet Genève,https://utmb.world/runner/132422.elodie.tercier,598.0,71.0,10.0,2.0,10:40:15,38415.53,True,f,
1125,Antonio SANTOS,PT,37,H,35-39M,TEAM NÓMADA / ONTRISPORTS,https://utmb.world/runner/970993.antonio.santos,629.0,72.0,62.0,12.0,10:43:05,38585.5,True,f,
1214,Jordan HAINAUX,BE,32,H,20-34M,,https://utmb.world/runner/4674249.jordan.hainaux,594.0,73.0,63.0,31.0,10:44:39,38679.49,True,f,
1084,Christophe DE CECCO,FR,31,H,20-34M,,https://utmb.world/runner/1253959.christophe.dececco,664.0,74.0,64.0,32.0,10:49:26,38966.2,True,f,
1132,Benjamin MALAVASI,FR,25,H,20-34M,RazmovsRapido,https://utmb.world/runner/4020576.benjamin.malavasi,626.0,75.0,65.0,33.0,10:50:53,39053.69,True,f,
1638,Ludovic DUSSUD,FR,49,H,45-49M,,https://utmb.world/runner/9850.ludovic.dussud,583.0,76.0,66.0,5.0,10:51:36,39096.43,True,f,
1119,Loic RAVAUD,FR,28,H,20-34M,,https://utmb.world/runner/4013737.loic.ravaud,634.0,77.0,67.0,34.0,10:52:40,39160.18,True,f,
1104,Hans BURRI,CH,42,H,40-44M,,https://utmb.world/runner/168129.hans.burri,646.0,78.0,68.0,16.0,10:55:01,39301.41,True,f,
1181,Lukasz GINTOWT,PL,44,H,40-44M,,https://utmb.world/runner/5176327.lukasz.gintowt,604.0,79.0,69.0,17.0,10:57:52,39472.57,True,f,
1068,Arnaud BARBE,FR,38,H,35-39M,Sc Agy,https://utmb.world/runner/64639.arnaud.barbe,673.0,80.0,70.0,13.0,10:58:04,39484.88,True,f,
1134,Marc COURTIEU,FR,51,H,45-49M,CS la Féclaz,https://utmb.world/runner/2107757.marc.courtieu,625.0,80.0,70.0,6.0,10:58:04,39484.39,True,f,
1687,Piotr GRZEGORZEK,PL,34,H,20-34M,,https://utmb.world/runner/5489519.piotr.grzegorzek,587.0,82.0,72.0,35.0,10:59:17,39557.8,True,f,
1056,Daniel SIEBER,CH,49,H,45-49M,Lauftreff Spiez,https://utmb.world/runner/1555749.daniel.sieber,688.0,83.0,73.0,7.0,10:59:27,39567.86,True,f,
1073,Nasser TAHANI,FR,34,H,20-34M,,https://utmb.world/runner/499098.nasser.tahani,672.0,84.0,74.0,36.0,11:00:14,39614.36,True,f,
1379,Matthias GEHIN,FR,27,H,20-34M,,https://utmb.world/runner/4852265.matthias.gehin,577.0,85.0,75.0,37.0,11:00:18,39618.93,True,f,
1180,Guillaume BANDELIER,CH,36,H,20-34M,Les jolies mollets,https://utmb.world/runner/1722197.guillaume.bandelier,600.0,86.0,76.0,38.0,11:01:01,39661.5,True,f,
1065,Giuseppe Igor GUIDO,IT,44,H,40-44M,Gp Trinese,https://utmb.world/runner/4215527.giuseppeigor.guido,676.0,87.0,77.0,18.0,11:01:11,39671.86,True,f,
1117,Anina FRITSCHE,CH,26,F,20-34W,,https://utmb.world/runner/4607618.anina.fritsche,573.0,88.0,11.0,3.0,11:04:42,39882.81,True,f,
1252,Alex BANKS,GB,39,H,35-39M,Cirencester AC,https://utmb.world/runner/4134425.alex.banks,629.0,89.0,78.0,14.0,11:04:51,39891.37,True,f,
