# Race: wildstrubel by utmb 2024 - Wild 10
# Distance: 10 km
# D+: 500 m
# D-: 500 m
# Date: 2024-09-14
# URL: https://live.utmb.world/wildstrubel/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8455,Bonjour ALLAN,CH,34,H,20-39M,Team Movea,https://utmb.world/runner/6498141.bonjour.allan,,1.0,1.0,1.0,00:49:56,2996.92,True,f,
8494,Théo CHEROUVRIER,FR,23,H,20-39M,Octane racing,https://utmb.world/runner/2291411.theo.cherouvrier,694.0,2.0,2.0,2.0,00:51:23,3083.9,True,f,
8003,Paul BUSI,FR,30,H,20-39M,,https://utmb.world/runner/4286965.paul.busi,632.0,3.0,3.0,3.0,00:54:33,3273.37,True,f,
8303,Jordan CRETTAZ,CH,16,H,EspoirsM,ATRV,https://utmb.world/runner/3374131.jordan.crettaz,,4.0,4.0,1.0,00:55:24,3324.37,True,f,
8229,Cyril CARRON,CH,16,H,EspoirsM,Académie Trail Running Valais,https://utmb.world/runner/5484862.cyril.carron,,4.0,4.0,1.0,00:55:24,3324.62,True,f,
8469,Alessio ASTOLFI,CH,16,H,EspoirsM,Tout Terrain Lutry Lavaux,https://utmb.world/runner/6501145.alessio.astolfi,,6.0,6.0,3.0,00:57:54,3474.19,True,f,
8161,Sina SCHERLING,CH,22,F,20-39W,STB Leichtathletik,https://utmb.world/runner/6036631.sina.scherling,,7.0,1.0,1.0,00:57:57,3477.96,True,f,
8002,Romane GAUTHIER,CH,27,F,20-39W,Hof's coaching & GSFM,https://utmb.world/runner/714418.romane.gauthier,634.0,7.0,1.0,1.0,00:57:57,3477.0,True,f,
8464,Sascha HOSENNEN,CH,45,H,40-49M,Suvretta Sports/WOO Nutrition,https://utmb.world/runner/79993.sascha.hosennen,704.0,9.0,7.0,1.0,00:58:05,3485.34,True,f,
8005,Gorun ILANJIAN,FR,28,H,20-39M,,https://utmb.world/runner/4034335.gorun.ilanjian,614.0,10.0,8.0,4.0,00:58:34,3514.91,True,f,
8008,Ilanjian HAIG,FR,31,H,20-39M,,https://utmb.world/runner/4289152.haig.ilanjian,590.0,11.0,9.0,5.0,00:58:38,3518.94,True,f,
8114,Octave COUTET,FR,16,H,EspoirsM,,https://utmb.world/runner/5831601.octave.coutet,,12.0,10.0,4.0,00:58:52,3532.34,True,f,
8424,Antoni GRELLET,CH,14,H,EspoirsM,Style Valais,https://utmb.world/runner/6489109.antoni.grellet,,13.0,11.0,5.0,01:00:02,3602.83,True,f,
8427,Noé VOUILLAMOZ,CH,14,H,EspoirsM,ATRV,https://utmb.world/runner/6342353.noe.vouillamoz,,14.0,12.0,6.0,01:00:13,3613.58,True,f,
8493,Jasper VAN HAASTER,NL,36,H,20-39M,Daventria 1906,https://utmb.world/runner/5066315.jasper.vanhaaster,493.0,15.0,13.0,6.0,01:00:38,3638.57,True,f,
8116,Corentin BONNEFOND,FR,26,H,20-39M,CROCO,https://utmb.world/runner/5440764.corentin.bonnefond,,16.0,14.0,7.0,01:00:49,3649.58,True,f,
8438,Antoine WOLFER,FR,26,H,20-39M,,https://utmb.world/runner/6492377.antoine.wolfer,,17.0,15.0,8.0,01:01:17,3677.31,True,f,
8009,Laurina NIVAL,FR,30,F,20-39W,,https://utmb.world/runner/4071614.laurina.nival,575.0,18.0,3.0,3.0,01:02:06,3726.65,True,f,
8384,Nolan MEYER,CH,17,H,JuniorsM,,https://utmb.world/runner/6471097.nolan.meyer,,19.0,16.0,1.0,01:02:10,3736.56,True,f,
