# Race: Wildstrubel by UTMB® 2025 - Wild 25
# Distance: 25 km
# D+: 1200 m
# D-: 1200 m
# Date: 2025-09-21
# URL: https://live.utmb.world/wildstrubel/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6002,Mattia BERTONCINI,IT,27,H,20-34M,New Balance,https://utmb.world/runner/1719137.mattia.bertoncini,874.0,1.0,1.0,1.0,01:58:19,7099,True,f,
6001,Arnaud BONIN,FR,40,H,40-44M,Team NLab,https://utmb.world/runner/240069.arnaud.bonin,886.0,2.0,2.0,1.0,02:00:18,7218,True,f,
6005,Riccardo SCALET,IT,29,H,20-34M,,https://utmb.world/runner/972269.riccardo.scalet,826.0,3.0,3.0,2.0,02:01:21,7281,True,f,
6013,Tim LAMONT,GB,31,H,20-34M,TEAM ALTRA,https://utmb.world/runner/5535022.tim.lamont,765.0,4.0,4.0,3.0,02:03:50,7430,True,f,
6006,François LEBOEUF,CH,40,H,40-44M,teamleboeuf / compressport,https://utmb.world/runner/678450.francois.leboeuf,811.0,5.0,5.0,2.0,02:05:13,7513,True,f,
6004,Pierre-André ANIZAN,FR,31,H,20-34M,SALOMON,https://utmb.world/runner/585365.pierreandre.anizan,839.0,6.0,6.0,4.0,02:05:25,7525,True,f,
6012,Aurélien BERTHOLET,CH,30,H,20-34M,CABV Martigny,https://utmb.world/runner/973123.aurelien.bertholet,765.0,7.0,7.0,5.0,02:06:35,7595,True,f,
6008,Cesar COSTA,CH,49,H,45-49M,CCRUNNING Saxon,https://utmb.world/runner/63550.cesar.costa,794.0,8.0,8.0,1.0,02:08:09,7689,True,f,
6011,Pierre-Etienne BESSE,CH,38,H,35-39M,Intersport Sierre,https://utmb.world/runner/996391.pierreetienne.besse,773.0,9.0,9.0,1.0,02:08:53,7733,True,f,
6003,Kevin VERMEULEN,FR,33,H,20-34M,Wise Ultra Running,https://utmb.world/runner/328216.kevin.vermeulen,843.0,10.0,10.0,6.0,02:10:26,7826,True,f,
6022,Carel GAVILLET,CH,24,H,20-34M,,https://utmb.world/runner/6379554.carel.gavillet,728.0,11.0,11.0,7.0,02:10:47,7847,True,f,
6010,Alvïn ALEXANDRE,FR,20,H,20-34M,VPA Racing,https://utmb.world/runner/5140331.alvin.alexandre,779.0,12.0,12.0,8.0,02:11:32,7892,True,f,
6025,Théo CHEROUVRIER,FR,23,H,20-34M,BCVS MOUNT SALOMON TEAM,https://utmb.world/runner/2291411.theo.cherouvrier,720.0,13.0,13.0,9.0,02:11:44,7904,True,f,
6015,Allan BONJOUR,CH,34,H,20-34M,Movea,https://utmb.world/runner/5296962.allan.bonjour,760.0,14.0,14.0,10.0,02:12:18,7938,True,f,
6042,Boris JAQUET,CH,26,H,20-34M,Pingouins Neuchâtelois,https://utmb.world/runner/1580173.boris.jaquet,692.0,15.0,15.0,11.0,02:12:35,7955,True,f,
6038,Max WITTEVEEN,CH,22,H,20-34M,AVG,https://utmb.world/runner/4516764.max.witteveen,692.0,16.0,16.0,12.0,02:14:22,8062,True,f,
6053,Benjamin LABBE,FR,24,H,20-34M,,https://utmb.world/runner/6764899.benjamin.labbe,671.0,17.0,17.0,13.0,02:15:02,8102,True,f,
6026,Louis DESPRES,FR,28,H,20-34M,,https://utmb.world/runner/5320324.louis.despres,716.0,18.0,18.0,14.0,02:16:37,8197,True,f,
6018,Julien CITERNE,FR,29,H,20-34M,Chamonix Mont-Blanc Marathon,https://utmb.world/runner/4012720.julien.citerne,751.0,19.0,19.0,15.0,02:20:21,8421,True,f,
6056,Clement BRIE,FR,25,H,20-34M,GBTA,https://utmb.world/runner/3095457.clement.brie,679.0,20.0,20.0,16.0,02:21:20,8480,True,f,
6021,Sébastien TREFFORT,FR,39,H,35-39M,,https://utmb.world/runner/4771886.sebastien.treffort,727.0,21.0,21.0,2.0,02:21:30,8490,True,f,
6024,Lenzo BATTAGLINI,CH,22,H,20-34M,Team Genève Trail,https://utmb.world/runner/4240640.lenzo.battaglini,723.0,22.0,22.0,17.0,02:21:53,8513,True,f,
6068,Patrick JABERG,CH,45,H,45-49M,tripl3.ch,https://utmb.world/runner/5077165.patrick.jaberg,640.0,23.0,23.0,2.0,02:23:44,8624,True,f,
6041,Jerome PIN,FR,46,H,45-49M,LYOMONIX,https://utmb.world/runner/1459031.jerome.pin,692.0,24.0,24.0,3.0,02:23:51,8631,True,f,
6072,Sonia SAMUELS,GB,46,F,45-49W,Sale Harriers,https://utmb.world/runner/6954807.sonia.samuels,635.0,25.0,1.0,1.0,02:23:57,8637,True,f,
6023,Ludovic MENARD,FR,31,H,20-34M,TEAM TRAIL GRANDS CRUS CARTYLIS,https://utmb.world/runner/1028625.ludovic.menard,724.0,26.0,25.0,18.0,02:24:13,8653,True,f,
6066,Carl SCHÜTZ,CH,29,H,20-34M,VC Lancy,https://utmb.world/runner/7565515.carl.schutz,643.0,27.0,26.0,19.0,02:24:39,8679,True,f,
6027,Krzysztof SZCZERBA,PL,31,H,20-34M,,https://utmb.world/runner/4409812.krzysztof.szczerba,703.0,28.0,27.0,20.0,02:25:29,8729,True,f,
6046,Frederic DUPRAZ,CH,51,H,50-54M,CS 13 Étoiles,https://utmb.world/runner/64651.frederic.dupraz,677.0,29.0,28.0,1.0,02:25:50,8750,True,f,
6051,Claudio GRAZIOLI,IT,44,H,40-44M,,https://utmb.world/runner/1335797.claudio.grazioli,671.0,30.0,29.0,3.0,02:26:04,8764,True,f,
7087,Nicolas PHILIPONA,CH,44,H,40-44M,Scott/Dupasquier Sport,https://utmb.world/runner/20709.nicolas.philipona,,31.0,30.0,4.0,02:26:13,8773,True,f,
6050,Arthur MOLLET,FR,19,H,18-19M,Grand Chambéry Ski,https://utmb.world/runner/6421736.arthur.mollet,674.0,32.0,31.0,1.0,02:26:39,8799,True,f,
6020,Nicolas VERMEULEN,FR,25,H,20-34M,Fuga Mountain Club,https://utmb.world/runner/5353020.nicolas.vermeulen,735.0,33.0,32.0,21.0,02:27:01,8821,True,f,
6082,Mattéo IOOS,FR,24,H,20-34M,Grand Besançon Trail Académie,https://utmb.world/runner/7258630.matteo.ioos,620.0,34.0,33.0,22.0,02:30:51,9051,True,f,
6045,Beat LUSSI,CH,45,H,45-49M,Trail Maniacs,https://utmb.world/runner/4004419.beat.lussi,685.0,35.0,34.0,4.0,02:30:55,9055,True,f,
6091,Mathis DEZAUZIER,FR,25,H,20-34M,WISE Ultra Running,https://utmb.world/runner/7455716.mathis.dezauzier,609.0,36.0,35.0,23.0,02:31:49,9109,True,f,
7702,Gianna Chiara WOHLER,CH,25,F,20-34W,"Adidas Terrex XC Ski Team, Puralpina Runners Team, TV Spiez ",https://utmb.world/runner/7238489.giannachiara.wohler,610.0,37.0,2.0,1.0,02:32:29,9149,True,f,
6047,Rémy RUFFIEUX,CH,23,H,20-34M,CAGF,https://utmb.world/runner/4500479.remy.ruffieux,680.0,38.0,36.0,24.0,02:32:55,9175,True,f,
6135,Alexandre GRAND,FR,28,H,20-34M,,https://utmb.world/runner/5209803.alexandre.grand,578.0,39.0,37.0,25.0,02:33:19,9199,True,f,
6044,Kevin FUCHS,CH,32,H,20-34M,,https://utmb.world/runner/678475.kevin.fuchs,686.0,40.0,38.0,26.0,02:33:36,9216,True,f,
6064,Dimitri GABIOUD,CH,19,H,18-19M,What’s Life Project,https://utmb.world/runner/4500643.dimitri.gabioud,643.0,41.0,39.0,2.0,02:33:45,9225,True,f,
6095,Antony LORENZIN,FR,35,H,35-39M,,https://utmb.world/runner/6906683.antony.lorenzin,608.0,42.0,40.0,3.0,02:34:03,9243,True,f,
6094,Carla MORGENROTH,DE,30,F,20-34W,,https://utmb.world/runner/7559944.carla.morgenroth,608.0,43.0,3.0,2.0,02:34:08,9248,True,f,
6092,Nadim JAN,CH,31,H,20-34M,,https://utmb.world/runner/6891939.nadim.jan,609.0,44.0,41.0,27.0,02:34:25,9265,True,f,
6083,Jonas Félix Nelson VAUDAN,CH,36,H,35-39M,Mental Athletic / Dead Rats????,https://utmb.world/runner/6868065.jonasfelixnelson.vaudan,619.0,45.0,42.0,4.0,02:34:41,9281,True,f,
6085,Thomas BOONE,BE,39,H,35-39M,Medsport,https://utmb.world/runner/996545.thomas.boone,616.0,46.0,43.0,5.0,02:34:51,9291,True,f,
6087,Jérôme ZENKLUSEN,CH,33,H,20-34M,,https://utmb.world/runner/2293167.jerome.zenklusen,613.0,47.0,44.0,28.0,02:35:07,9307,True,f,
6063,Philippe FRAGNIERE,CH,38,H,35-39M,,https://utmb.world/runner/5485080.philippe.fragniere,645.0,48.0,45.0,6.0,02:35:22,9322,True,f,
7337,Maxime BERSIER,CH,29,H,20-34M,,https://utmb.world/runner/7619957.maxime.bersier,,49.0,46.0,29.0,02:35:31,9331,True,f,
6115,Louis DEROUET,FR,25,H,20-34M,,https://utmb.world/runner/6874691.louis.derouet,590.0,50.0,47.0,30.0,02:36:22,9382,True,f,
