# Race: Ultra-Trail Xiamen by UTMB 2025 - MXM 50K
# Distance: 53 km
# D+: 2626 m
# D-: 2626 m
# Date: 2025-03-01
# URL: https://live.utmb.world/xiamen/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5013,Jianjian Yang,CN,31,H,20-34M,,https://utmb.world/runner/1980451.jianjian.yang,841.0,1.0,1.0,1.0,05:22:06,19326,True,f,
5014,Min Qi,CN,37,H,35-39M,,https://utmb.world/runner/1199567.min.qi,834.0,2.0,2.0,1.0,05:32:56,19976,True,f,
5012,Sheng Zhang,CN,27,H,20-34M,,https://utmb.world/runner/5238002.sheng.zhang,846.0,3.0,3.0,2.0,05:41:34,20494,True,f,
5017,Peng Tian,CN,27,H,20-34M,,https://utmb.world/runner/5714386.peng.tian,797.0,4.0,4.0,3.0,05:49:01,20941,True,f,
5002,Fuzhao Xiang,CN,34,F,20-34W,,https://utmb.world/runner/989977.fuzhao.xiang,797.0,5.0,1.0,1.0,06:05:09,21909,True,f,
5022,OLEKSII MELNYK,UA,39,H,35-39M,,https://utmb.world/runner/1438743.oleksii.melnyk,769.0,6.0,5.0,2.0,06:05:23,21923,True,f,
5005,Wenrong Zheng,CN,37,F,35-39W,,https://utmb.world/runner/879489.wenrong.zheng,691.0,7.0,2.0,1.0,06:35:11,23711,True,f,
5032,Song Li,CN,35,H,35-39M,,https://utmb.world/runner/1621953.song.li,719.0,8.0,6.0,3.0,06:42:42,24162,True,f,
6751,Ti Ren,CN,22,F,20-34W,,https://utmb.world/runner/6984203.ti.ren,,9.0,3.0,2.0,06:43:03,24183,True,f,
5033,Qipeng Zhou,CN,51,H,50-54M,,https://utmb.world/runner/534779.qipeng.zhou,670.0,10.0,7.0,1.0,06:52:31,24751,True,f,
5003,Ruifang Zhou,CN,31,F,20-34W,,https://utmb.world/runner/1367171.ruifang.zhou,691.0,11.0,4.0,3.0,07:00:17,25217,True,f,
5034,Clement Dumont,HK,48,H,45-49M,,https://utmb.world/runner/77390.clement.dumont,661.0,12.0,8.0,1.0,07:00:56,25256,True,f,
5608,Ping Zhong,CN,32,F,20-34W,,https://utmb.world/runner/3415897.ping.zhong,578.0,13.0,5.0,4.0,07:25:26,26726,True,f,
5042,MAN KIT LEE,HK,45,H,45-49M,,https://utmb.world/runner/204352.mankit.lee,602.0,14.0,9.0,2.0,07:30:54,27054,True,f,
5071,Dongwen Wang,CN,41,H,40-44M,,https://utmb.world/runner/1939827.dongwen.wang,547.0,15.0,10.0,1.0,07:34:08,27248,True,f,
5036,Wing Ho Yu,HK,30,H,20-34M,,https://utmb.world/runner/2654491.wingho.yu,631.0,16.0,11.0,4.0,07:37:28,27448,True,f,
5019,Linlin Yang,CN,37,F,35-39W,,https://utmb.world/runner/1438985.linlin.yang,672.0,17.0,6.0,2.0,07:38:38,27518,True,f,
5606,Suqing Li,CN,36,F,35-39W,,https://utmb.world/runner/4106859.suqing.li,600.0,18.0,7.0,3.0,07:39:43,27583,True,f,
5088,Difei Li,CN,37,H,35-39M,,https://utmb.world/runner/6191134.difei.li,524.0,19.0,12.0,4.0,07:40:53,27653,True,f,
5533,Michael OShea,GB,32,H,20-34M,,https://utmb.world/runner/6948823.michael.oshea,,20.0,13.0,5.0,07:45:39,27939,True,f,
5037,John VULLIERME,HK,46,H,45-49M,,https://utmb.world/runner/6013912.john.vullierme,625.0,21.0,14.0,3.0,07:45:57,27957,True,f,
