race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,10,Christian MALMSTRÖM,SE,45,H,45-49M,Team Blekinge / Irunteam,https://utmb.world/runner/1243141.christian.malmstrom,729.0,1.0,1.0,1.0,16:18:22,58702.0,True,f,779.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1004,Tuomas KARI,FI,42,H,40-44M,Salomon Finland,https://utmb.world/runner/3513757.tuomas.kari,851.0,1.0,1.0,1.0,08:36:19,30979.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,3,Alexandre BOUCHEIX,FR,34,H,20-34M,CASQUETTE VERTE,https://utmb.world/runner/758585.alexandre.boucheix,819.0,2.0,2.0,1.0,16:34:44,59684.0,True,f,766.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1005,Aasmund KJØLLMOEN STEIEN,NO,32,H,20-34M,Salomon Norway / Team Schmund,https://utmb.world/runner/3985516.aasmund.kjollmoensteien,845.0,2.0,2.0,1.0,08:46:02,31562.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,5,Jakob ÅBERG,SE,34,H,20-34M,SATISFY,https://utmb.world/runner/1843273.jakob.aberg,801.0,3.0,3.0,2.0,17:03:29,61409.0,True,f,744.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1012,Joe FARRELLY,GB,30,H,20-34M,New Levels Run Club,https://utmb.world/runner/5357368.joe.farrelly,707.0,3.0,3.0,2.0,08:52:45,31965.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,24,Hanna AHO,SE,33,F,20-34W,Navåsens FK,https://utmb.world/runner/3976348.hanna.aho,660.0,4.0,1.0,1.0,17:59:21,64761.0,True,f,706.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1006,Vasilii KORYTKIN,AN,37,H,35-39M,,https://utmb.world/runner/5228022.vasilii.korytkin,799.0,4.0,4.0,1.0,09:11:15,33075.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,32,Anne-Sofie POLLESTAD,NO,40,F,40-44W,,https://utmb.world/runner/4131603.annesofie.pollestad,648.0,5.0,2.0,1.0,18:32:13,66733.0,True,f,685.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1003,Anna-Stiina ERKKILÄ,FI,35,F,35-39W,ASICS trail team,https://utmb.world/runner/3041669.annastiina.erkkila,761.0,5.0,1.0,1.0,09:12:02,33122.0,True,f,
