event_name,race_name,race_code,year,start_date,start_time,location,country,latitude,longitude,distance_km,elevation_gain,utmb_category,avg_temp_c,min_temp_c,max_temp_c,total_precip_mm,max_wind_kmh,avg_wind_kmh,avg_humidity_pct,hours_analyzed,temp_score,precip_score,wind_score,humidity_score,weather_score,weather_category
Arc of Attrition by UTMB,ARC 100,arc100,2025,2025-01-24,12:00,Coverack,United Kingdom,50.0234,-5.093,160.0,4250,100m,8.1,6.2,10.5,8.2,30.3,18.9,70.7,24,100.0,73.6,69.5,98.7,84.5,Excellent
Arc of Attrition by UTMB,ARC 50,arc50,2025,2025-01-25,08:30,Porthcurno - Minack Theatre,United Kingdom,50.0402,-5.6389,80.0,2300,100k,8.8,5.5,10.1,9.7,67.5,28.3,68.0,24,100.0,70.6,22.5,100.0,74.2,Good
Chianti Ultra Trail by UTMB,Chianti Half Trail,CHT,2024,2024-03-24,08:00,Radda in Chianti,Italy,43.4865,11.3734,20.0,850,20k,8.3,2.1,13.0,1.0,15.9,8.3,75.7,24,100.0,96.0,98.2,88.7,96.5,Excellent
Chianti Ultra Trail by UTMB,Chianti Marathon Trail,CMT,2024,2024-03-23,06:00,Radda in Chianti,Italy,43.4865,11.3734,43.0,1650,50k,11.1,6.6,16.1,0.0,20.1,12.4,81.1,24,100.0,100.0,89.8,77.8,94.6,Excellent
Chianti Ultra Trail by UTMB,Chianti Ultra Trail,CUT,2024,2024-03-23,05:00,Radda in Chianti,Italy,43.4865,11.3734,73.0,2850,100k,11.2,7.1,16.1,0.0,20.1,12.3,80.8,24,100.0,100.0,89.8,78.5,94.7,Excellent
Chianti Ultra Trail by UTMB,Ultra Trail Chianti Castles,UTCC,2024,2024-03-23,03:00,Radda in Chianti,Italy,43.4865,11.3734,103.0,4000,100k,11.1,7.1,16.1,0.0,20.1,12.0,80.0,24,100.0,100.0,89.8,79.9,94.9,Excellent
Chianti Ultra Trail by UTMB,Chianti Half Trail,CHT,2025,2025-03-23,07:15,Radda in Chianti,Italy,43.4865,11.3734,20.0,800,20k,10.8,6.7,16.8,2.3,13.7,9.2,72.7,24,100.0,90.8,100.0,94.6,96.0,Excellent
Chianti Ultra Trail by UTMB,Chianti Marathon Trail,CMT,2025,2025-03-23,07:15,Radda in Chianti,Italy,43.4865,11.3734,46.0,1700,50k,10.8,6.7,16.8,2.3,13.7,9.2,72.7,24,100.0,90.8,100.0,94.6,96.0,Excellent
Chianti Ultra Trail by UTMB,Chianti Ultra Trail,CUT,2025,2025-03-22,06:00,Radda in Chianti,Italy,43.4865,11.3734,73.0,3000,100k,9.5,6.2,12.2,8.8,19.5,14.5,92.3,24,100.0,72.4,91.0,55.4,81.9,Excellent
Chianti Ultra Trail by UTMB,Chianti Wine Run,CWR,2025,2025-03-21,18:00,Radda in Chianti,Italy,43.4865,11.3734,10.0,400,,8.9,5.9,12.2,8.7,18.4,13.1,85.8,24,100.0,72.6,93.2,68.3,84.3,Excellent
Chianti Ultra Trail by UTMB,Ultra Trail Chianti Castles,UTCC,2025,2025-03-22,03:00,Radda in Chianti,Italy,43.4865,11.3734,120.0,5200,100m,9.3,5.9,12.2,11.3,19.5,15.0,90.8,24,100.0,67.4,91.0,58.3,80.5,Excellent
Eiger Ultra Trail,E101,E101,2024,2024-07-20,02:00,Grindelwald,Switzerland,46.6243,8.0414,101.0,6700,100k,20.8,14.9,25.9,0.0,6.4,3.8,55.2,24,71.0,100.0,100.0,100.0,91.3,Excellent
