# Race: Unknown
# Distance: 6.3 km
# D+: 1000 m
# D-: 1000 m
# Date: N/A
# URL: https://live.utmb.world/mut/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6053,Zak HANNA,IE,30,H,M1,Salomon,,,1.0,1.0,1.0,00:41:59,2519.99,True,f,
6114,Frédéric TRANCHAND,FR,37,H,M30,SCOTT RUNNING,,,2.0,2.0,1.0,00:42:48,2568.74,True,f,
6170,Stephan WENK,CH,43,H,M40,SCOTT RUNNING TEAM,,,3.0,3.0,1.0,00:45:26,2726.71,True,f,
6328,Ryunosuke OMI,JP,24,H,M1,adidas TERREX,,,4.0,4.0,2.0,00:45:49,2749.45,True,f,
6059,Cédric LEHMANN,CH,30,H,M1,SCOTT / STB Leichtathletik,,,5.0,5.0,3.0,00:47:36,2856.69,True,f,
6067,Fabian FUX,CH,24,H,M1,BCVS Mount Asics Team,,,6.0,6.0,4.0,00:48:23,2903.81,True,f,
6055,Kai HIROKI,CH,31,H,M1,JOHHOKU CABALLO ,,,7.0,7.0,5.0,00:49:53,2993.17,True,f,
6115,Benoît GUEX,CH,34,H,M30,SCOTT RUNNING CH,,,8.0,8.0,2.0,00:51:16,3076.16,True,f,
6110,Troy KELLENBERGER,US,36,H,M30,,,,9.0,9.0,3.0,00:51:25,3085.43,True,f,
6326,Luca TSCHURTSCHENTHALER,CH,28,H,M1,,,,10.0,10.0,6.0,00:51:46,3106.65,True,f,
6061,Harvey MARTIN,GB,26,H,M1,SCOTT RUNNING UK,,,11.0,11.0,7.0,00:51:47,3107.65,True,f,
6162,Thomas GRAF,CH,52,H,M40,,,,12.0,12.0,2.0,00:53:00,3180.14,True,f,
6327,Jan PERREN,CH,27,H,M1,,,,13.0,13.0,8.0,00:53:24,3204.39,True,f,
6063,Yann LIVACHE,CH,21,H,JuniorsG,SCOTT RUNNING CH,,,14.0,14.0,1.0,00:53:29,3209.71,True,f,
6002,Victoria KREUZER,CH,36,F,W30,Adidas Terrex,,,15.0,1.0,1.0,00:53:39,3219.14,True,f,
6117,Karim ASRIH,BE,35,H,M30,SCOTT RUNNING,,,16.0,15.0,4.0,00:53:43,3223.13,True,f,
6171,Simon GRIMSTRUP,DK,49,H,M40,SOK,,,17.0,16.0,3.0,00:54:00,3240.88,True,f,
6133,Frédéric VAUCLAIR,CH,47,H,M40,,,,18.0,17.0,4.0,00:54:10,3250.38,True,f,
