# Race: Unknown
# Distance: 152 km
# D+: 5300 m
# D-: 5300 m
# Date: 2024-11-08
# URL: https://live.utmb.world/puertovallarta/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
117,Remigio HUAMAN QUISPE,PE,42,H,40-44M,adidas TERREX,https://utmb.world/runner/879725.remigio.huamanquispe,823.0,1.0,1.0,1.0,16:20:20,58820.288,True,f,
3,Samuel COLLINS,US,30,H,20-34M,,https://utmb.world/runner/2416975.samuel.collins,780.0,2.0,2.0,1.0,17:20:21,62421.022000000004,True,f,
13,Steven DOLL,US,33,H,20-34M,,https://utmb.world/runner/4196398.steven.doll,640.0,3.0,3.0,2.0,18:57:46,68266.4,True,f,
60,Edson Scorpion CHÁVEZ,MX,34,H,20-34M,Xcorpion Team,https://utmb.world/runner/6458357.edsonscorpion.chavez,,4.0,4.0,3.0,20:53:30,75210.585,True,f,
5,Alyssa CLARK,US,32,F,20-34W,On Trail Running,https://utmb.world/runner/2196387.alyssa.clark,701.0,5.0,1.0,1.0,21:38:51,77931.39,True,f,
31,Marc-Antoine FORAND,CA,35,H,20-34M,THE NORTH FACE,https://utmb.world/runner/3454111.marcantoine.forand,647.0,6.0,5.0,4.0,21:51:55,78715.012,True,f,
6,Hector FUENTES RIVERA,SV,46,H,45-49M,Cayaguanca Outdoor/ATPRun,https://utmb.world/runner/1434547.hector.fuentesrivera,699.0,7.0,6.0,1.0,22:35:31,81331.268,True,f,
30,Esteban Alejandro MARÍN TORRES,CL,33,H,20-34M,,https://utmb.world/runner/2238007.estebanalejandro.marintorres,689.0,8.0,7.0,5.0,22:40:00,81600.792,True,f,
79,Julius VAINAUSKAS,LT,35,H,20-34M,,https://utmb.world/runner/3699927.julius.vainauskas,595.0,9.0,8.0,6.0,22:50:33,82233.037,True,f,
122,Kelsey HOGAN,CA,30,F,20-34W,Norda Trail Team,https://utmb.world/runner/1714861.kelsey.hogan,638.0,10.0,2.0,2.0,23:29:41,84581.64300000001,True,f,
47,Jonathan RUDOLPH,US,31,H,20-34M,,https://utmb.world/runner/3364437.jonathan.rudolph,,11.0,9.0,7.0,23:55:46,86146.741,True,f,
121,Thibaut REVENAZ,CA,46,H,45-49M,Euro-Sports,https://utmb.world/runner/1040891.thibaut.revenaz,650.0,12.0,10.0,2.0,24:07:15,86835.603,True,f,
104,Jonathan GONZALEZ,CO,43,H,40-44M,Liebres Colombia,https://utmb.world/runner/4556290.jonathan.gonzalez,555.0,13.0,11.0,2.0,24:49:35,89375.056,True,f,
35,Salvador CASTILLO,MX,39,H,35-39M,UDS Trail Mx,https://utmb.world/runner/5318548.salvador.castillorodriguez,669.0,14.0,12.0,1.0,25:22:54,91374.227,True,f,
75,Rob CLEMENS,CA,54,H,50-54M,,https://utmb.world/runner/3363833.rob.clemens,616.0,15.0,13.0,1.0,25:51:16,93076.04800000001,True,f,
65,Todd NOTT,US,61,H,60-64M,Lincoln Running Company,https://utmb.world/runner/83568.todd.nott,600.0,16.0,14.0,1.0,26:05:15,93915.0,True,f,
119,Gabriel PETRIDIS DEROSSI,CA,35,H,20-34M,,https://utmb.world/runner/4758120.gabriel.petridisderossi,602.0,17.0,15.0,8.0,26:09:40,94180.589,True,f,
29,Simon CHIFFOLEAU,FR,30,H,20-34M,,https://utmb.world/runner/4674471.simon.chiffoleau,589.0,18.0,16.0,9.0,26:20:15,94815.12,True,f,
25,Noe JASSO IÑIGUEZ,MX,40,H,35-39M,Trail San Francisco,https://utmb.world/runner/6166227.noe.jassoiniguez,,19.0,17.0,2.0,27:31:04,99064.144,True,f,
92,Mauricio COLORADO TAMEZ,MX,25,H,20-34M,,https://utmb.world/runner/6284667.mauricio.coloradotamez,,20.0,18.0,10.0,27:33:39,99219.524,True,f,
100,Abrahan VILLANUEVA,CO,43,H,40-44M,TrailDog Colombia / Titantes de la Montaña,https://utmb.world/runner/877303.abrahan.villanueva,602.0,21.0,19.0,3.0,27:38:47,99527.825,True,f,
69,Marcelo COLORADO TAMEZ,MX,27,H,20-34M,MRC,https://utmb.world/runner/6359433.marcelo.coloradotamez,,22.0,20.0,11.0,27:40:50,99650.891,True,f,
10,Marisol ARTEAGA SERRANO,MX,49,F,45-49W,,https://utmb.world/runner/6619137.marisol.arteagaserrano,,23.0,3.0,1.0,27:49:56,100196.75099999999,True,f,
116,Julio César GUZMÁN RAMOS,MX,34,H,20-34M,Libre,https://utmb.world/runner/4605478.juliocesar.guzmanramos,515.0,24.0,21.0,12.0,27:59:24,100764.19099999999,True,f,
107,Alfredo PLASCENCIA CASILLAS,MX,42,H,40-44M,,https://utmb.world/runner/2443271.alfredo.plascenciacasillas,585.0,25.0,22.0,4.0,28:14:46,101686.87599999999,True,f,
83,Jimmy LOPEZ,CO,46,H,45-49M,LIEBRES COLOMBIA,https://utmb.world/runner/2148149.jimmy.lopez,542.0,26.0,23.0,3.0,28:45:15,103515.362,True,f,
106,Dorian CADART,FR,35,H,20-34M,,https://utmb.world/runner/4804648.dorian.cadart,536.0,27.0,24.0,13.0,28:51:13,103873.80699999999,True,f,
101,Omar Jesus MENDOZA NUÑO,MX,39,H,35-39M,Sense8,https://utmb.world/runner/5318578.omarjesus.mendozanuno,518.0,28.0,25.0,3.0,29:15:58,105358.416,True,f,
103,Marcela Evelyn ARIAS GAETA,MX,37,F,35-39W,,https://utmb.world/runner/2447569.marcelaevelyn.ariasgaeta,559.0,29.0,4.0,1.0,29:17:39,105459.319,True,f,
7,Neruda CESPEDES MORA,CR,47,H,45-49M,,https://utmb.world/runner/5798446.pneruda.cespedesmora,697.0,30.0,26.0,4.0,29:22:24,105744.844,True,f,
90,Ricardo BADILLO,MX,37,H,35-39M,MOHINORA,https://utmb.world/runner/4251561.ricardo.badillo,483.0,31.0,27.0,4.0,30:23:24,109404.038,True,f,
85,Andrés REYES DÍAZ,MX,45,H,40-44M,Corredores de Nayarit,https://utmb.world/runner/1738763.andres.reyesdiaz,,32.0,28.0,5.0,30:42:36,110556.09599999999,True,f,
52,Jaime DURON,MX,33,H,20-34M,DURO CREW,https://utmb.world/runner/4807100.jaime.duron,518.0,33.0,29.0,14.0,30:50:45,111045.696,True,f,
51,Jafet MONTE,MX,35,H,20-34M,Triaholics,https://utmb.world/runner/5943724.jafet.monte,438.0,34.0,30.0,15.0,30:50:46,111046.09,True,f,
88,Carlos A. TRUJILLO,MX,61,H,60-64M,Pies Ligeros,https://utmb.world/runner/5000265.carlosa.trujillo,,35.0,31.0,2.0,31:03:15,111795.406,True,f,
72,Ricardo RODRIGUEZ,CO,28,H,20-34M,ColTrail,https://utmb.world/runner/4918310.ricardo.rodriguez,492.0,36.0,32.0,16.0,31:17:17,112637.18699999999,True,f,
71,Martin EIKEL,DE,30,H,20-34M,Memorial Run Club (MRC),https://utmb.world/runner/6091134.martin.eikel,547.0,37.0,33.0,17.0,31:19:18,112758.925,True,f,
14,Federico BOHMER,CO,27,H,20-34M,,https://utmb.world/runner/5924245.federico.bohmer,368.0,38.0,34.0,18.0,31:20:35,112835.615,True,f,
102,Cristian GIACONI,CL,52,H,50-54M,,https://utmb.world/runner/549224.cristian.giaconi,374.0,39.0,35.0,2.0,31:33:37,113617.73300000001,True,f,
23,Miguel CAMARENA PÉREZ,MX,42,H,40-44M,,https://utmb.world/runner/3569037.miguel.camarenaperez,475.0,40.0,36.0,6.0,31:33:39,113619.57199999999,True,f,
26,Victor HERNANDEZ,MX,46,H,45-49M,Tri_evo,https://utmb.world/runner/1630375.victor.hernandez,505.0,41.0,37.0,5.0,31:42:04,114124.455,True,f,
66,Jose Manuel RIVERA DIAZ,PR,45,H,40-44M,,https://utmb.world/runner/2980153.josemanuel.riveradiaz,428.0,42.0,38.0,7.0,31:46:27,114387.355,True,f,
82,Adrian RAMIREZ,MX,32,H,20-34M,,https://utmb.world/runner/5828451.adrian.ramirez,381.0,43.0,39.0,19.0,31:47:26,114446.832,True,f,
27,Pedro SEGUNDO CRUZ,MX,34,H,20-34M,,https://utmb.world/runner/5550481.pedro.segundocruz,423.0,44.0,40.0,20.0,31:59:45,115185.12,True,f,
120,Diego POLINO,MX,40,H,35-39M,FUELISHER,https://utmb.world/runner/4601262.diego.polino,593.0,45.0,41.0,5.0,32:02:05,115325.694,True,f,
43,Jonathan DAWSON,US,37,H,35-39M,,https://utmb.world/runner/4812992.jonathan.dawson,518.0,46.0,42.0,6.0,32:03:18,115398.726,True,f,
81,Huanyuan SHENG,US,50,H,45-49M,,https://utmb.world/runner/4396858.huanyuan.sheng,465.0,47.0,43.0,6.0,32:17:43,116263.84,True,f,
62,Tito CUETO,US,26,H,20-34M,,https://utmb.world/runner/6465873.tito.cueto,,48.0,44.0,21.0,32:21:19,116479.524,True,f,
